step,SARSA,Q_learning,double_Q_learning,QV_learning
107,36.4275,85.44,77.259,93.886
107,0,0,0,0
108,41.737,82.156,71.936,94.248
108,0,0,0,0
109,-237.613,82.113,73.883,94.175
109,0,0,0,0
110,-2.9955,85.884,74.26,93.611
110,0,0,0,0
111,-1586.2,84.059,75.81,93.889
111,0,0,0,0
112,-155.185,82.651,68.969,95.043
112,0,0,0,0
113,59.3995,83.68,80.273,94.279
113,0,0,0,0
114,13.525,85.912,78.747,94.384
114,0,0,0,0
115,-288.742,83.839,80.701,95.587
115,0,0,0,0
116,52.14,84.034,73.385,95.024
116,0,0,0,0
117,60.438,85.604,76.377,94.826
117,0,0,0,0
118,-66.328,84.144,77.792,94.2
118,0,0,0,0
119,-129.286,86.126,72.813,94.839
119,0,0,0,0
120,26.6615,85.341,72.929,94.459
120,0,0,0,0
121,25.992,82.352,78.724,95.207
121,0,0,0,0
122,60.9695,82.81,76.934,94.124
122,0,0,0,0
123,39.8675,86.422,75.52,95.136
123,0,0,0,0
124,57.5095,84.315,75.604,95.001
124,0,0,0,0
125,54.39,85.95,77.152,94.378
125,0,0,0,0
126,-5.472,83.445,78.482,95.27
126,0,0,0,0
127,14.9935,86.84,80.689,95.272
127,0,0,0,0
128,-133.435,84.468,77.179,95.486
128,0,0,0,0
129,24.1925,85.424,74.792,95.497
129,0,0,0,0
130,-162.684,85.681,78.717,94.96
130,0,0,0,0
131,-8.5435,87.165,78.29,95.157
131,0,0,0,0
132,30.285,86.501,73.061,94.817
132,0,0,0,0
133,-0.056,84.59,76.727,95.16
133,0,0,0,0
134,15.437,86.495,81.973,95.848
134,0,0,0,0
135,-5.025,89.35,82.587,95.475
135,0,0,0,0
136,71.3485,85.373,80.041,95.231
136,0,0,0,0
137,-39.6765,86.609,79.58,94.638
137,0,0,0,0
138,26.592,87.175,75.632,96.495
138,0,0,0,0
139,1.271,87.251,78.79,96.305
139,0,0,0,0
140,-12.2965,86.182,73.476,95.765
140,0,0,0,0
141,12.853,86.487,81.334,96.359
141,0,0,0,0
142,5.552,86.127,78.662,96.374
142,0,0,0,0
143,43.3655,87.525,78.762,96.138
143,0,0,0,0
144,-54.1215,88.051,78.281,96.028
144,0,0,0,0
145,37.7825,86.457,77.443,96.028
145,0,0,0,0
146,57.1,87.017,84.152,96.371
146,0,0,0,0
147,31.54,86.899,77.266,95.492
147,0,0,0,0
148,68.8295,87.358,81.437,96
148,0,0,0,0
149,43.374,85.559,79.455,95.877
149,0,0,0,0
150,57.7595,88.122,79.722,96.286
150,0,0,0,0
151,40.751,89.416,76.485,96.539
151,0,0,0,0
152,-185.62,86.289,76.161,95.393
152,0,0,0,0
153,-12.7125,90.092,82.448,95.661
153,0,0,0,0
154,66.64,86.989,77.614,96.525
154,0,0,0,0
155,-15.192,87.51,81.963,95.803
155,0,0,0,0
156,5.7315,87.769,77.035,96.324
156,0,0,0,0
157,36.673,88.554,75.687,96.378
157,0,0,0,0
158,-50.5265,88.346,83.465,96.284
158,0,0,0,0
159,-18.6155,86.267,81.339,95.951
159,0,0,0,0
160,-16.3325,89.808,85.302,96.087
160,0,0,0,0
161,-18.803,88.925,80.763,96.008
161,0,0,0,0
162,38.3725,86.547,83.747,96.326
162,0,0,0,0
163,14.228,90.238,78.275,96.308
163,0,0,0,0
164,68.628,89.179,78.08,96.439
164,0,0,0,0
165,37.9185,89.266,79.504,96.299
165,0,0,0,0
166,52.541,86.881,80.745,96.601
166,0,0,0,0
167,43.629,89.172,74.302,96.665
167,0,0,0,0
168,60.793,88.266,85.213,96.822
168,0,0,0,0
169,20.556,88.123,77.115,96.995
169,0,0,0,0
170,9.34,88.407,76.967,96.902
170,0,0,0,0
171,59.084,89.039,80.58,96.963
171,0,0,0,0
172,-5.581,87.78,80.047,96.667
172,0,0,0,0
173,-103.379,88.997,78.658,97.042
173,0,0,0,0
174,-30.2015,90.565,83.371,97.137
174,0,0,0,0
175,32.692,90.235,83.504,97.15
175,0,0,0,0
176,-3.069,90.15,80.529,96.879
176,0,0,0,0
177,62.2265,88.841,83.84,96.782
177,0,0,0,0
178,-20.9185,88.398,84.86,97.263
178,0,0,0,0
179,60.7615,88.076,79.001,96.993
179,0,0,0,0
180,53.639,90.515,81.041,96.542
180,0,0,0,0
181,-92.795,90.456,82.029,96.652
181,0,0,0,0
182,-46.674,89.64,81.128,96.987
182,0,0,0,0
183,70.663,89.721,81.369,97.085
183,0,0,0,0
184,15.0945,90.35,81.516,96.726
184,0,0,0,0
185,-224.4,91.176,84.213,97.113
185,0,0,0,0
186,26.9085,88.518,84.737,97.29
186,0,0,0,0
187,34.317,90.471,85.226,97.042
187,0,0,0,0
188,27.899,91.677,82.378,97.208
188,0,0,0,0
189,17.3725,90.078,82.319,97.215
189,0,0,0,0
190,23.583,90.8,85.963,97.234
190,0,0,0,0
191,-31.794,88.584,83.069,97.259
191,0,0,0,0
192,58.3665,90.052,82.994,97.426
192,0,0,0,0
193,57.107,91.52,78.128,97.044
193,0,0,0,0
194,77.2415,89.969,81.998,97.302
194,0,0,0,0
195,32.6915,91.027,82.249,97.111
195,0,0,0,0
196,57.0995,88.883,79.529,97.277
196,0,0,0,0
197,68.7205,89.92,84.627,96.897
197,0,0,0,0
198,-44.514,91.12,84.137,97.287
198,0,0,0,0
199,-101.19,88.679,81.695,97.355
199,0,0,0,0
200,30.33,91.503,86.031,97.322
200,0,0,0,0
201,-24.421,91.01,84.981,97.416
201,0,0,0,0
202,-24.7185,91.902,89.205,97.357
202,0,0,0,0
203,68.8815,90.922,84.466,97.139
203,0,0,0,0
204,-74.4565,90.095,85.766,97.28
204,0,0,0,0
205,43.6235,91.292,85.93,97.211
205,0,0,0,0
206,60.8555,91.164,81.293,97.191
206,0,0,0,0
207,65.489,90.317,80.818,97.417
207,0,0,0,0
208,64.1535,88.36,88.216,97.359
208,0,0,0,0
209,77.1815,91.318,80.878,97.622
209,0,0,0,0
210,54.548,91.462,82.359,97.148
210,0,0,0,0
211,62.193,91.79,80.28,97.279
211,0,0,0,0
212,69.637,92.158,85.233,97.422
212,0,0,0,0
213,62.434,90.621,85.99,97.016
213,0,0,0,0
214,-33.49,88.248,81.755,97.596
214,0,0,0,0
215,55.6475,90.271,86.329,97.327
215,0,0,0,0
216,73.2425,91.556,85.097,97.373
216,0,0,0,0
217,46.4345,91.71,87.541,97.136
217,0,0,0,0
218,51.8445,91.549,84.911,97.339
218,0,0,0,0
219,-0.2375,92.4,88.507,96.894
219,0,0,0,0
220,55.845,89.509,82.961,97.361
220,0,0,0,0
221,44.024,90.437,82.68,97.245
221,0,0,0,0
222,39.3245,89.737,89.936,97.203
222,0,0,0,0
223,57.91,90.868,84.51,97.36
223,0,0,0,0
224,-6.759,92.933,82.935,97.561
224,0,0,0,0
225,66.9025,91.39,89.346,97.206
225,0,0,0,0
226,77.448,90.648,82.532,97.502
226,0,0,0,0
227,82.0385,90.13,84.563,97.063
227,0,0,0,0
228,62.928,94.839,84.275,97.358
