step,SARSA,Q_learning,double_Q_learning,QV_learning
102,-737.483,82.0395,72.8615,93.4455
102,0,0,0,0
103,-54.4403,85.43,74.7585,92.8325
103,0,0,0,0
104,-88.254,85.5855,72.422,93.847
104,0,0,0,0
105,26.2865,84.834,71.981,93.9535
105,0,0,0,0
106,16.234,81.9565,72.814,93.772
106,0,0,0,0
107,-2.1515,81.277,77.1755,93.259
107,0,0,0,0
108,5.42725,82.8985,78.0305,93.8265
108,0,0,0,0
109,20.2853,85.308,77.926,95.1655
109,0,0,0,0
110,-7.54575,84.019,71.9455,93.99
110,0,0,0,0
111,1.1065,82.842,71.5745,94.271
111,0,0,0,0
112,10.3563,84.075,73.4645,94.141
112,0,0,0,0
113,4.74775,84.098,73.5315,94.5575
113,0,0,0,0
114,34.0728,83.3535,74.8905,93.7575
114,0,0,0,0
115,0.1895,86.263,80.1585,94.6545
115,0,0,0,0
116,-3.96275,84.4665,72.949,94.603
116,0,0,0,0
117,32.8875,84.7285,72.886,94.765
117,0,0,0,0
118,48.8737,84.6245,79.61,94.486
118,0,0,0,0
119,35.249,84.5455,78.967,93.5535
119,0,0,0,0
120,-7.77275,82.909,74.032,94.683
120,0,0,0,0
121,28.7347,84.6615,72.7715,94.35
121,0,0,0,0
122,36.3138,85.793,73.699,94.8055
122,0,0,0,0
123,47.7505,85.7085,77.2665,95.15
123,0,0,0,0
124,6.27975,85.1445,74.023,95.0905
124,0,0,0,0
125,15.826,86.0775,75.7605,95.1475
125,0,0,0,0
126,48.364,86.9195,77.488,95
126,0,0,0,0
127,-13.8235,86.913,80.2915,94.115
127,0,0,0,0
128,23.2702,85.25,79.7355,95.4355
128,0,0,0,0
129,11.806,86.7685,79.2745,94.711
129,0,0,0,0
130,67.4962,87.2065,76.4095,95.027
130,0,0,0,0
131,39.7628,86.046,75.0985,96.0555
131,0,0,0,0
132,22.8753,86.2705,78.338,94.9795
132,0,0,0,0
133,28.913,86.389,80.3095,95.8555
133,0,0,0,0
134,40.9248,86.8675,76.4385,95.4555
134,0,0,0,0
135,25.111,87.6295,81.6885,95.0315
135,0,0,0,0
136,7.237,85.8505,78.2155,95.8775
136,0,0,0,0
137,44.8328,85.1385,80.0395,95.712
137,0,0,0,0
138,-228.895,86.8685,76.909,95.5935
138,0,0,0,0
139,-4.37475,87.9835,80.87,96.229
139,0,0,0,0
140,-7.347,86.579,79.8365,95.902
140,0,0,0,0
141,50.04,86.4245,80.7105,96.256
141,0,0,0,0
142,12.3115,86.55,78.499,95.884
142,0,0,0,0
143,51.5438,87.7525,76.7935,95.5835
143,0,0,0,0
144,28.4747,86.9105,77.866,95.935
144,0,0,0,0
145,47.2393,87.4085,77.2335,95.963
145,0,0,0,0
146,43.1625,86.0175,78.224,95.7155
146,0,0,0,0
147,41.3433,88.41,77.035,96.131
147,0,0,0,0
148,58.4705,87.6075,78.3435,96.291
148,0,0,0,0
149,41.293,87.057,81.524,96.221
149,0,0,0,0
150,26.379,88.2515,80.978,95.6775
150,0,0,0,0
151,30.1567,87.3825,76.2695,96.7055
151,0,0,0,0
152,15.7422,89.0395,81.4125,96.3145
152,0,0,0,0
153,50.2895,89.3675,80.238,96.1635
153,0,0,0,0
154,-3.1975,88.491,81.6545,96.573
154,0,0,0,0
155,58.421,88.862,77.9425,96.431
155,0,0,0,0
156,45.0743,86.8725,79.249,96.6685
156,0,0,0,0
157,58.8598,89.6125,80.838,96.4345
157,0,0,0,0
158,-14.5022,88.5855,77.235,96.701
158,0,0,0,0
159,39.325,89.205,76.7715,96.4715
159,0,0,0,0
160,44.6818,89.1445,81.23,96.518
160,0,0,0,0
161,60.1475,89.322,79.7805,96.5865
161,0,0,0,0
162,42.4342,87.223,79.1475,96.3405
162,0,0,0,0
163,49.0628,87.479,78.5155,96.579
163,0,0,0,0
164,50.4865,88.5795,80.2075,96.6385
164,0,0,0,0
165,41.4908,89.502,80,96.722
165,0,0,0,0
166,56.8283,86.874,81.849,96.396
166,0,0,0,0
167,39.3845,89.093,81.2065,96.043
167,0,0,0,0
168,34.5465,87.911,81.2205,96.835
168,0,0,0,0
169,39.89,88.3975,81.6175,96.4165
169,0,0,0,0
170,34.5492,90.0745,82.045,96.7705
170,0,0,0,0
171,59.5575,91.4645,80.117,96.5785
171,0,0,0,0
172,49.1933,88.343,83.6815,97.125
172,0,0,0,0
173,44.2117,89.1125,79.2415,96.923
173,0,0,0,0
174,28.4632,88.2815,83.5785,96.615
174,0,0,0,0
175,59.6608,89.161,81.356,96.6535
175,0,0,0,0
