step,SARSA,Q_learning,double_Q_learning,QV_learning
176,97.93,97.2,91.34,95.4
177,95.84,96.3,96.48,96.42
178,95.45,96.16,95.88,94.42
179,96.85,95.62,96.36,94.5
180,92.11,95.14,97.36,94.58
181,95.53,96.78,95.72,95.74
182,96.63,94.3,95.02,95.38
183,93.24,95.62,96.38,95.74
184,94.35,94.8,95.06,96.9
185,94.92,96.16,92.06,92.46
186,98.01,97.54,95.28,95.7
187,94.05,96.6,94.06,94.58
188,97.22,95.38,96.02,95.36
189,95.72,96.66,93.82,95.34
190,94.63,96.48,94.88,94.86
191,92.19,95.24,96.5,95.46
192,96.51,95.82,94.5,93.26
193,90.55,95.62,96.32,95.3
194,98.59,95.04,94.34,95.62
195,97.59,96,95.38,94.94
196,97.92,97.06,95.4,95.46
197,90.28,96.92,95.28,94.4
198,95.97,96.32,95.92,95.08
199,97.58,95.9,96.7,95.14
200,96,95.12,96.12,94.92
201,97.08,96.44,91.88,94.7
202,95.21,95.3,97.08,96.18
203,96.77,95.54,94.9,94.2
204,94.44,95.12,94.08,93.96
205,97.89,95.66,95.56,93.64
206,95.32,97.12,93.66,93.58
207,96.76,96.76,95.56,93.24
208,96.9,95.46,95.28,92.86
209,95.99,96.58,96.44,93.58
210,97.25,96,95.08,94.32
211,97.86,95.72,92.3,94.84
212,97.02,95.96,95.84,94.74
213,95.18,96.98,95.28,95.36
214,96.47,96.88,95.46,94.54
215,96.39,95.62,95.16,95.78
216,97.24,96.46,94.62,95.06
217,97.38,95.92,94.1,94.68
218,97.41,96.08,94.38,95.38
219,92.43,95.72,95.76,96.68
220,95.76,96.4,95.34,95.66
221,92.77,96.08,95.92,95.6
222,96.99,97.1,95.96,96.02
223,97.95,95.24,96.64,97.42
224,97.32,96.5,96.2,95.06
225,91.61,96.02,96.98,95.52
226,97.17,95.5,95.26,95.14
227,95.59,96.48,93.24,93.16
228,97.55,95.5,96.7,93.98
229,93.41,96.18,95.52,94.5
230,97.16,96.64,95.8,95.42
231,97.56,94.54,96.3,92.38
232,92.22,96.42,96.58,94.28
233,96.31,93.32,96.48,93.74
234,95.12,96.4,95.22,93.48
235,94.95,96.78,95.32,96.42
236,97.22,96.1,97.12,95.6
237,96.03,95.28,95.14,94.58
238,97.29,95.3,96.16,94.64
239,98.11,96.14,96.88,94.56
240,96.23,95.88,95.86,95.78
241,97.19,95.5,95.92,95.32
242,91.37,97.22,95.18,94.68
243,96.06,95.92,97.32,94.94
244,94.48,95.26,92.54,94.7
245,93.19,96.48,95.04,96.16
246,96.92,96.08,94.66,95.9
247,97.73,96.42,93.48,95.54
248,98.05,95.6,95.54,94.26
249,96.38,95.24,95.9,95.04
250,97.06,96.4,94.7,95.36
251,97.94,95.44,96.58,94.72
252,95.84,96.32,95.76,94.94
253,97.16,95.9,91.92,94.36
254,96.87,95.82,92.32,95.24
255,97.44,96.38,94.78,93.78
256,95.55,95.52,95.48,94.48
257,90.46,96.48,96.42,95.18
258,97.47,96.74,95.66,93.24
259,94.49,95.98,95.36,94.82
260,94.33,96.48,95.16,91.12
261,97.47,95.9,96.06,94.68
262,96.35,96.46,94.72,94.64
263,95.26,95.72,95.86,92.32
264,96.49,95.98,96.04,94.88
265,97.89,95.34,95.84,94.66
266,95.8,96.46,97.76,94.86
267,98.55,96.46,95.02,96.28
268,94.8,96.28,95.16,94.8
269,97.12,95.84,95.68,94.58
270,96.79,94.98,95.3,95.2
271,94.55,95.68,96.32,95.06
272,95.97,96.56,96.54,95.64
273,97.43,96,96.18,94.74
274,95.76,95.36,95.98,95.72
275,98.08,95,97.52,95.36
276,96.9,94.24,95.72,95.08
277,97.82,96.32,96.34,95.9
278,96.92,95.58,96.6,95.5
279,97.54,96.12,97.28,96.52
280,97.51,96.3,96.22,94.8
281,97.01,97.2,95.96,95.04
282,96.51,96.84,96.2,95.34
283,97.62,96.22,96.22,95.28
284,95.52,96.04,96,95.5
285,97.71,96.16,96.92,95.26
286,98.72,95.9,96.4,95.84
287,95.84,97.4,94,95.06
288,97.09,96.34,97.32,96.16
289,96.12,95.08,96.48,95.02
290,97.81,96.18,96.42,93.16
291,97.85,95.28,96.12,95.6
292,97.86,96.66,95.98,94.1
293,97.11,96.78,96.04,96
294,98.03,96.06,95.78,96.06
295,96.46,96.78,96.24,95.24
296,95.77,95.78,95.62,95.12
297,95.98,95.56,96.58,94.22
298,97.25,95.26,95.56,93.94
299,96.07,95.38,96.36,93.28
300,96.32,96.98,96.22,87.6
301,98.36,96.76,94.16,92.66
302,97.1,96.5,96.52,92.48
303,96.84,94.98,96.2,92.32
304,97.36,96.54,95.44,94.66
305,98,96.54,96.16,94.14
306,97.05,96.18,94.86,94.4
307,97.6,96.56,96.8,94.78
308,97.03,95.72,97.26,95.12
309,96.15,96.08,97.14,95.9
310,92.63,95.98,95.94,95.12
311,97.59,96.2,96.04,95.6
312,95.42,96.02,94.36,95.46
313,97.13,94.8,95.58,90.52
314,97.92,97.28,97.1,94.14
315,97.25,96.48,95.6,94.04
316,97.05,96.18,96.5,93.56
317,95.98,95.8,97.14,93.68
318,96.69,96.06,96.44,96.58
319,97.92,97.3,96.42,95.58
320,97.38,96.36,96.88,95.86
321,97.77,96.98,96.18,93.48
322,96.94,95.96,96.36,97.44
323,96.28,96.02,95.7,96
324,97.2,95.96,96.04,94.88
325,98.48,96.8,96.28,96.2
326,97.15,95.3,95.2,94.72
327,96.4,95.84,94.6,94.32
328,95.34,95.62,94.56,95.26
329,97.49,96.42,97,94.56
330,97.46,95.72,96.06,96.14
331,96.81,96.78,94.36,96.34
332,97.32,95.9,95.22,95.08
333,97.27,97.2,95.8,96.06
334,96.77,96.16,95.8,94.84
335,97.91,95.7,96.22,95.24
336,96.94,96,95.98,96.8
337,97.82,97.14,96.24,95.42
