epsilon = 0.3
learning_rate = 0.05
discount_rate = 0.99
lambda = 0.5

T = 0.1
step,SARSA,Q_learning,double_Q_learning,QV_learning,std_SARSA,std_Q,std_double_Q,std_QV
0,19305.5,850.052,1766.25,894.248,71261.6,646.378,2402.77,458.917
1,25820.1,2029.69,2988.2,1464.98,99732.9,871.4,3105.42,592.815
2,13969.3,2122.39,2121.68,1138.83,52169.4,663.479,2261.78,494.452
3,21473.2,1304.68,1843.01,846.772,312295,579.399,2111.98,446.869
4,9015.61,1161.68,1483.19,614.208,68176.9,570.109,1612.9,427.618
5,11023.9,1009.28,1253.37,509.66,105671,530.914,1508.9,383.963
6,8323.36,781.638,1159.93,401.748,61835.6,460.234,1480.73,357.76
7,6274.13,667.884,1089.67,377.708,32078.1,426.491,1329.7,327.307
8,3031.99,744.612,959.908,300.126,9277.22,448.142,1114.29,292.303
9,6961.5,621.218,873.788,272.756,46378.3,433.217,1067.07,269.457
10,6719.32,620.4,868.158,250.586,63976.8,406.535,1059.25,261.285
11,2439.14,511.052,858.368,238.524,8433.11,387.404,1035.82,254.072
12,5098.22,471.664,740.262,224.256,26161.8,367.693,934.842,247.154
13,3105.27,484.992,687.862,195.7,11460.6,369.832,885.709,225.237
14,9392.82,439.792,672.338,203.77,127076,347.727,878.588,227.576
15,3324.56,399.884,685.098,203.952,16281.1,341.833,850.975,229.762
16,4074.29,396.784,666.082,193.54,21211.7,334.036,885.076,223.552
17,5174.98,382.282,543.406,174.45,34925.3,333.983,685.023,204.723
18,4106.93,329.172,598.694,150.814,27898.8,302.426,854.151,195.312
19,1766.79,299.742,484.16,163.012,5214.4,287.558,648.004,198.746
20,4621.39,326.432,495.816,160.596,44523.4,285.603,775.603,190.242
21,2491.23,296.964,509.5,149.764,11873.9,275.805,734.563,184.139
22,2403.91,311.044,432.946,162.672,11981.8,270.01,622.656,197.094
23,8725.23,280.232,428.784,162.284,115505,263.519,562.082,193.031
24,3662.41,265.046,425.498,151.09,37774.8,244.242,623.878,184.178
25,5771.99,280.988,460.96,136.454,68577.2,270.718,660.752,174.182
26,2398.42,264.992,381.192,141.962,15292.3,253.793,536.048,174.868
27,2067.59,230.938,409.622,126.702,12928.2,234.176,568.727,166.068
28,2247.83,239.136,407.8,149.776,10393.7,237.142,600.227,187.081
29,1856.28,224.078,314.06,128.944,7149.61,226.186,480.023,168.56
30,3049.71,199.472,359.72,133.142,25183.5,218.257,534.77,178.836
31,4118.1,194.89,352.412,110.538,46173.5,216.705,481.14,160.687
32,4447.77,189.118,344.504,119.874,56759.7,209.472,537.567,162.196
33,5613.33,198.096,348.884,119.534,73761,209.641,543.636,156.569
34,6398.55,187.162,321.888,112.12,94491.3,205.744,518.751,152.483
35,1831.48,196.596,331.036,105.918,8235.23,207.235,510.24,150.4
36,1400.63,194.96,326.592,103.244,5933.29,204.715,513.406,141.878
37,1943.44,184.004,304.498,104.026,10156,203.912,474.864,144.236
38,2105.52,183.752,310.674,104.608,13017.8,197.356,480.317,150.746
39,1584.63,183.638,329.5,86.666,6847.76,197.429,504.484,125.943
40,1974.28,180.434,238.66,99.654,12292.4,210.473,349.558,138.917
41,3418.68,175.818,292.724,94.838,40238.9,195.079,468.852,136.849
42,1798.19,152.726,271.782,98.872,12524.1,182.602,448.001,142.408
43,1400.29,152.92,265.564,91.034,7889.3,174.983,386.084,137.533
44,1834.27,153.24,266.996,84.346,12462.1,180.352,407.724,125.304
45,1551.18,152.434,270.738,94.114,11400.5,181.645,408.117,137.957
46,1838.02,150.454,254.446,83.37,8601.76,179.116,371.944,126.937
47,2266.27,142.182,214.744,79.828,15941.4,167.131,331.766,120.745
48,4479.53,149.362,243.616,90.194,33263,173.183,391.886,126.483
49,3275.09,140.284,249.556,87.604,30551.9,171.259,383.744,130.117
50,2483.49,149.988,242.084,76.662,17541.8,178.088,383.941,120.178
51,3380.77,145.196,227.634,75.926,25786.2,175.914,385.157,117.626
52,2035.45,127.14,247.024,69.274,14060.6,157.555,417.932,112.489
53,1178.51,127.106,205.56,79.894,5486.72,161.129,359.705,123.077
54,1294.55,129.582,222.224,73.228,7442.47,170.152,363.978,115.092
55,4946.65,132.644,199.18,70.31,74372.6,164.927,349.962,112.076
56,1808.46,134.466,218.33,65.09,20233.1,159.831,340.992,102.189
57,1857.31,150.604,209.536,66.9,10578.3,171.644,353.858,104.063
58,1393.54,112.816,203.48,60.94,5582.13,154.492,339.972,102.337
59,1818.3,126.472,224.63,71.718,13241.1,158.542,362.948,108.865
60,1614.46,130.798,210.012,65.44,9045.2,161.271,346.78,105.258
61,6969.85,127.234,174.534,67.818,114150,158.807,291.994,104.388
62,1111.72,116.884,174.586,53.572,7618.21,147.461,280.357,89.7649
63,1889.92,120.512,190.562,58.664,11407.6,150.029,331.793,94.7209
64,6355.08,119.406,195.308,67.598,76346.6,156.055,332.956,103.783
65,3644.58,125.72,203.088,59.704,54662.3,155.356,343.247,104.221
66,3068.95,115.736,172.994,58.314,25560.6,148.786,284.321,98.4564
67,3240.38,128.526,202.618,57.504,42361.1,153.114,325.799,96.6915
68,1034.09,111.218,169.72,49.45,4132.91,149.984,282.541,79.4676
69,2895.03,120.868,187.432,60.192,25827.6,157.53,308.06,95.5167
70,1362.63,110.108,166.56,60.858,8958.3,145.057,277.999,97.1492
71,1785.55,109.174,152.368,52.838,11094.6,147.695,266.002,86.1711
72,2698.45,104.952,155.8,56.872,29828.8,141.467,264.061,89.5864
73,1000.34,116.922,166.932,53.21,5286.1,150.324,298.861,84.7917
74,1204.89,120.09,184.728,52.68,6469.89,151.79,332.929,82.4002
75,1496.31,109.374,191.274,49.452,9254.06,137.828,310.686,83.3968
76,1678.13,111.426,163.668,56.586,8163.93,141.013,302.481,92.7896
77,869.162,94.364,158.858,50.65,3337.94,124.914,272.763,81.5717
78,1228.73,100.816,163.75,46,4749.78,137.076,295.235,79.2605
79,1338.84,114.382,163.02,51.474,8311.07,143.07,301.507,85.2783
80,1125.54,105.964,157.22,52.036,5357.89,141.064,268.357,86.8337
81,1138.81,97.996,152.4,43.816,4660.23,132.4,258.829,77.8429
