step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSARSA,stdQ,stddoubleQ,stdQV
0,-1830.35,-69.6104,-252.85,-78.44960,7126.16,129.276,480.554,91.7835
1,-2481.81,-305.539,-497.239,-192.5951,9973.29,174.28,621.083,118.563
2,-1296.73,-324.078,-323.936,-127.3662,5216.94,132.696,452.356,98.8904
3,-2047.12,-160.535,-268.201,-68.95443,31229.5,115.88,422.395,89.3738
4,-801.361,-131.936,-196.238,-22.44164,6817.69,114.022,322.58,85.5236
5,-1002.19,-101.456,-150.274,-1.5325,10567.1,106.183,301.78,76.7926
6,-732.136,-55.9276,-131.585,20.05046,6183.56,92.0468,296.146,71.552
7,-527.213,-33.1768,-117.533,24.85847,3207.81,85.2982,265.94,65.4615
8,-202.999,-48.5224,-91.5816,40.37488,927.722,89.6285,222.858,58.4606
9,-595.95,-23.8436,-74.3576,45.84889,4637.83,86.6435,213.415,53.8913
10,-571.732,-23.68,-73.2316,50.282810,6397.68,81.3071,211.85,52.2569
11,-143.714,-1.8104,-71.2736,52.695211,843.311,77.4809,207.163,50.8145
12,-409.622,6.0672,-47.6524,55.548812,2616.18,73.5387,186.968,49.4308
13,-210.327,3.4016,-37.1724,61.2613,1146.06,73.9663,177.142,45.0473
14,-839.082,12.4416,-34.0676,59.64614,12707.6,69.5455,175.718,45.5152
15,-232.256,20.4232,-36.6196,59.609615,1628.11,68.3667,170.195,45.9524
16,-307.229,21.0432,-32.8164,61.69216,2121.17,66.8073,177.015,44.7103
17,-417.298,23.9436,-8.2812,65.5117,3492.53,66.7966,137.005,40.9445
18,-310.493,34.5656,-19.3388,70.237218,2789.88,60.4852,170.83,39.0624
19,-76.4788,40.4516,3.568,67.797619,521.44,57.5115,129.601,39.7491
20,-361.939,35.1136,1.2368,68.280820,4452.34,57.1206,155.121,38.0483
21,-148.923,41.0072,-1.5,70.447221,1187.39,55.1611,146.913,36.8279
22,-140.191,38.1912,13.8108,67.865622,1198.18,54.002,124.531,39.4188
23,-772.323,44.3536,14.6432,67.943223,11550.5,52.7037,112.416,38.6062
24,-266.041,47.3908,15.3004,70.18224,3777.48,48.8483,124.776,36.8357
25,-476.999,44.2024,8.208,73.109225,6857.72,54.1436,132.15,34.8365
26,-139.642,47.4016,24.1616,72.007626,1529.23,50.7586,107.21,34.9735
27,-106.559,54.2124,18.4756,75.059627,1292.82,46.8352,113.745,33.2136
28,-124.583,52.5728,18.84,70.444828,1039.37,47.4284,120.045,37.4163
29,-85.4282,55.5844,37.588,74.611229,714.961,45.2371,96.0046,33.7119
30,-204.771,60.5056,28.456,73.771630,2518.35,43.6513,106.954,35.7671
31,-311.61,61.422,29.9176,78.292431,4617.35,43.3409,96.228,32.1375
32,-344.577,62.5764,31.4992,76.425232,5675.97,41.8944,107.513,32.4392
33,-461.133,60.7808,30.6232,76.493233,7376.1,41.9282,108.727,31.3138
34,-539.655,62.9676,36.0224,77.97634,9449.13,41.1488,103.75,30.4965
35,-82.9476,61.0808,34.1928,79.216435,823.523,41.447,102.048,30.08
36,-39.8634,61.408,35.0816,79.751236,593.329,40.943,102.681,28.3757
37,-94.1444,63.5992,39.5004,79.594837,1015.6,40.7825,94.9729,28.8472
38,-110.352,63.6496,38.2652,79.478438,1301.78,39.4712,96.0634,30.1491
39,-58.263,63.6724,34.5,83.066839,684.776,39.4857,100.897,25.1886
40,-97.2276,64.3132,52.668,80.469240,1229.24,42.0945,69.9116,27.7835
41,-241.668,65.2364,41.8552,81.432441,4023.89,39.0157,93.7704,27.3698
42,-79.6192,69.8548,46.0436,80.625642,1252.41,36.5205,89.6002,28.4816
43,-39.8294,69.816,47.2872,82.193243,788.93,34.9966,77.2167,27.5066
44,-83.2274,69.752,47.0008,83.530844,1246.21,36.0704,81.5448,25.0607
45,-54.9176,69.9132,46.2524,81.577245,1140.05,36.329,81.6233,27.5914
46,-83.602,70.3092,49.5108,83.72646,860.176,35.8231,74.3888,25.3874
47,-126.427,71.9636,57.4512,84.434447,1594.14,33.4261,66.3531,24.1491
48,-347.753,70.5276,51.6768,82.361248,3326.3,34.6366,78.3771,25.2966
49,-227.309,72.3432,50.4888,82.879249,3055.19,34.2518,76.7487,26.0233
50,-148.149,70.4024,51.9832,85.067650,1754.18,35.6176,76.7881,24.0356
51,-237.877,71.3608,54.8732,85.214851,2578.62,35.1828,77.0314,23.5252
52,-103.345,74.972,50.9952,86.545252,1406.06,31.5111,83.5864,22.4978
53,-17.651,74.9788,59.288,84.421253,548.672,32.2259,71.9409,24.6155
54,-29.2546,74.4836,55.9552,85.754454,744.247,34.0305,72.7957,23.0184
55,-394.465,73.8712,60.564,86.33855,7437.26,32.9853,69.9924,22.4152
56,-80.6458,73.5068,56.734,87.38256,2023.31,31.9662,68.1984,20.4378
57,-85.5314,70.2792,58.4928,87.0257,1057.83,34.3287,70.7716,20.8126
58,-39.1536,77.8368,59.704,88.21258,558.213,30.8984,67.9944,20.4674
59,-81.6296,75.1056,55.474,86.056459,1324.11,31.7085,72.5896,21.7729
60,-61.2456,74.2404,58.3976,87.31260,904.52,32.2542,69.356,21.0516
61,-596.785,74.9532,65.4932,86.836461,11415,31.7613,58.3989,20.8777
62,-10.9718,77.0232,65.4828,89.685662,761.821,29.4922,56.0714,17.953
63,-88.792,76.2976,62.2876,88.667263,1140.76,30.0057,66.3586,18.9442
64,-535.308,76.5188,61.3384,86.880464,7634.66,31.211,66.5913,20.7567
65,-264.258,75.256,59.7824,88.459265,5466.23,31.0712,68.6494,20.8443
66,-206.695,77.2528,65.8012,88.737266,2556.06,29.7571,56.8642,19.6913
67,-223.838,74.6948,59.8764,88.899267,4236.11,30.6228,65.1598,19.3383
68,-3.2092,78.1564,66.456,90.5168,413.291,29.9969,56.5082,15.8935
