step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSarsa,stdQ,stddoubleQ,stdQV
77,81.9504,83.7368,74.6204,90.199677,28.2813,24.9001,41.5011,13.7069
78,81.7088,84.3876,76.6388,90.682478,27.0938,21.9333,36.3524,12.434
79,80.2694,84.0424,78.1152,89.511679,34.3837,23.0636,36.8311,15.2979
80,82.398,84.9984,72.866,89.977680,29.8582,22.9451,50.7125,15.0654
81,80.9532,86.7776,76.5592,90.445681,31.3839,19.5504,37.696,13.3983
82,81.452,84.7012,74.046,90.531282,29.3038,22.2608,47.1089,12.4477
83,83.1872,86.4028,75.5148,90.354483,27.516,19.1393,41.9857,12.268
84,84.3806,83.1052,79.3968,90.46484,27.3248,24.5594,36.7674,13.3899
85,81.238,85.9296,77.0788,89.959285,28.2726,21.2885,39.1399,14.1986
86,83.3392,85.4456,78.1456,90.608486,27.8945,20.4452,36.0512,12.2047
87,85.2042,84.2552,76.1924,91.400487,23.765,23.6832,41.9854,10.1133
88,84.6706,85.8112,75.1544,90.561688,24.3943,22.4367,42.2892,11.6589
89,82.3868,85.2072,82.216,91.356889,29.5458,21.2996,30.727,10.871
90,86.0926,83.656,78.1564,91.573690,23.0664,22.9219,37.9392,10.334
91,83.3374,84.5008,79.586,91.251691,27.7319,22.4928,35.6437,11.2336
92,84.6596,85.852,78.3444,91.655292,26.0731,20.8345,40.5109,11.2897
93,86.8792,86.974,78.8008,90.98293,21.1855,19.2372,35.2967,10.5183
94,83.7128,86.4384,80.9084,91.599294,28.876,19.7521,32.3033,10.4739
95,84.9378,85.83,81.7568,91.282495,24.2626,20.1154,31.7471,9.90686
96,84.7314,85.8776,82.7208,90.78896,26.6211,21.419,28.0461,11.3911
97,84.99,85.5472,79.1024,91.629697,22.7465,21.9539,39.9009,10.3751
98,83.579,86.2248,79.3264,91.674498,25.1854,20.5066,35.8195,9.07051
99,84.9792,86.8732,78.87,91.781299,23.9814,19.3604,38.6953,9.80673
100,86.2708,85.4188,79.6088,90.8784100,23.9341,22.383,38.9092,10.6341
101,86.3248,85.2676,78.4388,91.8264101,20.5859,22.6983,35.4306,8.80763
102,85.2108,85.6612,79.2556,91.8548102,24.7424,20.022,41.6284,9.22851
103,87.9402,82.8644,79.506,91.532103,20.0193,24.8924,35.896,9.4658
104,87.858,86.2224,79.954,92.0224104,19.5487,20.4876,38.0495,9.78403
105,86.1784,85.6948,80.7668,91.3116105,20.8294,19.1575,30.4588,10.3347
106,86.3766,86.662,80.9316,91.982106,25.4519,19.2127,32.7661,8.59094
107,85.1818,86.7384,80.542,92.168107,26.02,18.3807,30.7615,8.08663
108,87.286,86.3876,76.2288,91.4852108,21.8335,18.7514,41.1321,9.48519
109,85.7102,86.1052,75.9436,91.5476109,24.2154,19.9194,39.2879,9.58387
110,86.154,85.6688,81.8728,92.2716110,22.9684,20.2508,30.2981,7.83187
111,87.2098,87.6184,78.648,92.3136111,21.2321,16.4599,39.5308,7.74672
112,86.5266,85.5416,80.412,91.5112112,22.0776,19.9721,33.6153,8.33854
113,86.4816,87.2548,79.61,91.9684113,22.7145,17.5997,34.8103,8.52418
114,88.3318,87.2048,82.5664,92.3856114,17.9191,17.4448,28.0595,6.63434
115,88.4594,86.1644,80.1764,92.0952115,19.714,16.9799,32.7046,7.14815
116,87.3046,87.5656,81.628,91.914116,20.4345,15.917,33.0747,8.81963
117,87.062,86.7864,81.6136,92.3512117,23.23,16.6325,31.0084,7.43299
118,87.5644,86.7624,83.0068,92.546118,19.8144,17.7783,28.285,7.10508
119,87.1986,87.8964,78.3652,92.0432119,21.2885,16.2426,39.4216,7.71364
120,89.3562,89.702,81.0912,92.2152120,18.6303,13.9436,31.5281,7.91739
121,86.815,86.7624,81.118,92.7236121,21.1432,18.5548,30.6194,6.55805
122,85.4436,87.1032,82.5308,92.7012122,25.6636,15.7457,35.8473,6.25372
123,86.4636,87.5688,81.1368,91.818123,21.9426,16.3542,33.3365,7.90592
124,85.5472,88.2988,81.1304,92.3328124,24.321,14.7507,31.897,6.68152
125,85.1932,87.4444,81.4868,92.3216125,23.5149,16.4511,32.4873,7.0736
126,86.8614,87.4876,80.1064,92.7668126,24.1538,15.0864,33.9143,6.12495
127,86.7484,88.3412,80.6908,92.2424127,23.0983,13.8891,32.9525,7.22042
128,87.6282,88.0704,81.3332,92.7324128,20.7658,14.6403,29.8783,6.75834
129,86.753,87.118,83.0052,92.5468129,24.53,18.2325,28.8274,5.96445
130,88.0576,88.152,81.1828,92.3836130,20.3215,15.6921,33.4109,6.84741
131,87.9194,87.7236,83.2028,92.2888131,22.3687,15.4046,30.6003,6.91957
132,88.1686,88.3208,82.2692,92.2964132,19.9816,15.3041,30.4098,6.69075
133,88.349,87.3084,82.828,92.8296133,19.7734,16.451,29.6088,5.30501
134,89.2394,88.942,84.7044,92.1708134,17.9868,12.9588,27.7399,6.71843
135,88.9808,88.2484,81.3768,91.7228135,18.737,13.8854,31.7238,7.42237
136,87.5644,87.2632,84.3032,92.598136,22.9649,16.1426,26.7729,5.42643
