step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSARSA,stdQ,stddoubleQ,stdQV
77,49.3018,85.338,78.5096,95.27277,166.706,22.026,42.8374,7.04342
78,34.4448,87.5116,80.7308,94.726478,298.043,19.0789,37.7659,8.77971
79,38.2872,88.4972,77.1404,95.295679,341.773,17.5162,42.3766,7.55774
80,47.9118,88.566,81.014,95.074480,182.627,17.8775,34.3955,7.90858
81,58.7344,88.0464,80.3016,95.196881,106.635,18.9733,38.0039,7.31022
82,8.7444,86.972,76.512,95.316882,800.901,19.1358,45.064,7.34617
83,18.2768,89.272,80.8808,95.467283,773.332,17.1913,36.8855,6.75403
84,22.9586,88.2688,81.8524,95.7584,616.53,18.1908,34.5831,6.12487
85,29.6866,87.6032,80.5728,95.753285,394.729,18.3181,41.0451,6.85461
86,49.0824,87.5656,79.71,95.349286,234.223,17.921,43.7498,6.74377
87,61.7202,87.51,80.9348,95.822487,115.244,17.9373,32.2955,5.82686
88,53.7528,89.7108,81.0212,95.80288,150.893,17.174,40.4614,6.5054
89,34.326,87.6912,81.2172,95.446489,465.418,17.8609,37.9665,7.14297
90,52.4302,89.0448,77.7924,95.911690,166.979,17.3739,44.979,5.96889
91,64.0368,87.7316,80.228,96.120891,113.908,19.6032,37.1614,5.24851
92,64.172,89.2056,80.228,96.312892,93.6519,15.45,41.4235,4.94487
93,66.5622,89.3904,84.2676,96.335293,115.795,17.064,29.7827,5.39048
94,58.3536,87.9256,82.6836,96.385694,183.314,18.9901,33.2017,4.47878
95,44.9308,88.404,82.1072,96.215295,184.84,17.7869,34.5305,4.90331
96,58.6204,88.778,81.0128,96.507696,143.048,17.4197,37.8344,4.183
97,30.2706,89.8708,80.4132,96.612897,592.308,16.1465,36.2865,3.8724
98,45.6594,88.85,82.4352,96.433298,280.449,17.1852,33.9618,4.40254
99,61.204,90.4512,82.48,96.129699,166.873,15.2679,32.5009,5.11642
100,55.7728,89.8756,84.0816,96.3896100,224.615,15.6216,28.7594,5.09824
101,49.5118,91.0196,81.3396,96.5968101,257.996,14.5044,35.6275,4.41322
102,62.736,89.8992,82.9716,96.3912102,103.968,15.6286,35.9358,4.36888
103,54.4486,90.5356,84.5696,96.276103,182.289,15.6244,31.7912,4.77525
104,43.31,89.2976,81.222,96.4964104,366.791,16.4785,45.9433,4.47536
105,61.989,91.1864,84.0252,96.42105,185.395,13.8248,34.871,4.9969
106,71.5004,89.002,85.2784,96.4532106,85.4838,17.1164,29.6711,4.38816
107,74.8296,91.1716,83.928,96.6348107,76.4354,15.1533,35.9273,3.64312
108,68.9144,89.682,83.1104,96.6752108,86.4557,16.2232,32.7367,3.88238
109,50.6732,90.9844,83.5268,96.7832109,255.635,14.3629,33.5516,3.78042
110,66.9224,89.8092,84.686,96.8536110,85.9413,15.658,30.1676,3.2509
111,45.6016,91.3948,85.6496,96.7348111,611.958,14.1505,28.0918,3.30195
112,63.0848,90.9216,84,96.916112,208.988,15.1957,36.0015,3.27668
113,64.0164,91.8668,84.26,96.6548113,104.964,13.439,32.218,3.90753
114,75.564,90.4728,84.3684,96.544114,97.7142,15.6617,32.9546,4.3587
115,74.7984,88.9644,85.1588,96.9496115,68.2672,17.4504,31.2944,3.00176
116,45.291,91.8644,84.9716,96.902116,606.35,13.8301,30.3963,3.4554
117,69.4606,90.9684,85.604,97.0584117,107.944,14.4579,28.3873,2.8047
118,65.5478,90.5284,82.992,96.7144118,218.521,15.2024,34.5201,3.47264
119,49.8844,92.7488,83.1792,96.8232119,494.122,12.4348,39.7885,2.94919
120,50.2626,90.5704,83.6016,96.94120,343.043,15.6605,33.3439,2.84643
121,35.7586,90.4164,86.4372,97.2328121,524.959,15.0402,23.8593,2.89096
122,55.461,92.2516,84.7568,97.1348122,398.928,12.4574,30.6411,2.24781
123,67.1862,91.3628,87.048,96.9768123,206.249,13.8002,24.761,2.73439
124,64.9846,90.6736,86.034,96.8908124,184.248,15.4489,26.3423,3.51793
125,64.2298,91.3932,81.646,97.066125,147.917,13.776,35.8429,2.90683
126,73.912,92.2552,85.4408,96.9008126,70.5104,12.8773,29.8221,2.94454
127,58.5836,92.8324,84.794,97.1972127,356.949,11.8588,28.2465,2.19032
128,70.893,92.546,86.0108,97.3484128,161.811,12.167,28.7687,1.63535
129,67.1594,91.2604,87.806,97.0704129,112.896,13.7977,24.4522,2.90459
130,74.3206,92.2036,83.2632,96.8988130,119.318,13.3913,37.5217,2.79561
131,79.2038,92.8296,84.726,96.9988131,65.2424,11.4888,30.0211,2.37953
132,68.6568,92.4148,87.352,97.2484132,122.513,12.9424,25.3312,2.73168
133,69.689,92.36,85.2504,97.1868133,206.245,12.8799,31.6049,2.22068
134,68.0854,91.718,88.3008,97.276134,118.534,13.6219,21.841,2.27936
135,82.8964,93.2132,84.318,97.1296135,45.3334,10.9745,31.8338,2.21356
136,73.1642,92.3048,86.8508,97.1116136,186.962,13.1745,29.6185,2.55235
137,75.68,91.9968,88.798,97.0716137,78.2922,13.4239,21.2984,2.47572
138,62.6962,92.6696,86.5148,97.1664138,271.597,12.1787,24.9332,2.43001
139,78.746,92.856,87.262,97.1096139,65.2027,12.0548,25.1118,2.62209
140,78.8426,93.3848,86.6488,97.2288140,50.5236,10.726,28.3234,2.24584
141,70.0002,92.7336,87.5364,97.1528141,129.556,12.5931,25.5592,2.22107
142,71.8992,93.3236,87.6956,97.4352142,151.051,11.1454,25.5659,1.39836
143,63.5308,93.4224,87.8516,97.2872143,210.503,10.5016,24.7236,1.9823
144,69.0156,92.7508,86.4604,97.116144,327.438,11.9685,26.0642,2.56724
145,79.467,93.3124,87.2784,97.336145,60.7758,10.5658,26.4167,1.63146
146,71.835,92.8904,85.8816,97.2276146,241,11.7739,30.5994,2.1745
147,68.4018,93.1932,88.1792,97.2928147,240.475,11.011,20.6181,1.94448
148,80.3926,92.3484,84.1008,97.3048148,52.4006,13.0805,33.2914,1.82412
149,83.6248,92.9392,87.406,97.1052149,54.9071,11.6642,25.2439,2.37316
150,79.879,93.414,85.956,97.3048150,83.7085,10.9453,29.5212,2.03707
151,78.3504,93.5032,86.7972,97.3324151,72.369,10.9114,25.2522,1.73422
152,78.7844,94.0816,86.9608,97.2664152,74.2402,10.4178,25.2509,2.40847
153,74.8446,93.8416,88.3572,97.2356153,109.366,9.88414,28.2627,2.15717
154,77.9108,93.5324,88.06,97.2196154,104.105,11.0113,26.1482,2.47936
155,57.5028,93.9628,88.902,97.154155,267.128,9.79352,23.1125,2.40207
156,83.3668,93.72,88.1992,97.2732156,47.689,10.5249,27.5332,2.09617
157,78.0804,93.784,86.3864,97.3772157,69.4142,10.3453,29.8356,1.92309
158,80.368,94.0976,86.3488,97.3028158,70.2675,9.47627,29.6942,2.16372
159,81.2598,94.3308,87.4088,97.352159,67.1333,9.24966,27.0671,1.70649
160,73.4402,94.2152,87.0096,97.1892160,166.584,9.46479,28.2458,1.84771
161,75.9114,93.964,88.1776,97.3596161,124.094,10.6172,25.2637,1.98451
162,55.6034,94.136,87.6724,97.2844162,504.161,9.43205,25.2213,2.03017
163,65.5194,93.8012,88.4928,97.3832163,227.017,9.70209,25.9432,1.41858
164,82.0016,94.0608,90.1656,97.3084164,59.0721,9.82572,25.4489,1.45052
165,76.9106,93.2496,87.6672,97.2428165,124.719,11.3291,24.3954,2.02714
166,77.2614,94.2324,87.6444,97.4968166,132.828,9.04447,24.4241,1.07252
167,72.013,94.0684,88.1864,97.358167,344.244,9.14144,25.7975,1.65826
