epsilon = 0.3
learning_rate = 0.1
discount_rate = 0.99
lambda = 0.5

T = 0.1
step,SARSA,Q_learning,double_Q_learning,QV_learning,std_SARSA,std_Q,std_double_Q,std_QV
0,12308,783.32,1580.23,873.216,49346.1,632.682,2176.71,471.782
1,13594.9,1823.87,2705.19,1242.62,39165,780.815,2584.29,519.461
2,6201.7,1702.93,1824.6,862.122,18020,567.659,1995.66,426.405
3,4791.21,984.116,1537.44,581.67,17323.8,580.539,1852.41,400.951
4,2520.88,776.886,1182.79,451.818,5977.66,458.188,1394.13,346.537
5,3820.32,699.694,1114.05,342.392,25378.8,438.225,1352.69,306.08
6,2757.04,555.976,913.872,314.358,9402.03,382.052,1245.75,299.218
7,3003.97,452.198,869.756,253.134,10780.6,352.556,1159.69,263.797
8,2663.9,442.36,736.586,225.228,9483.6,339.662,942.062,239.647
9,3148.16,387.974,631.538,211.394,22226.4,308.489,818.496,214.944
10,2599.16,371.364,565.426,200.714,14844.4,316.878,828.736,223.724
11,2331.59,304.714,531.674,180.118,12178.2,282.193,695.639,213.295
12,2232.61,291.394,473.336,162.604,11399.5,280.38,688.806,199.589
13,2745.72,276.13,480.934,153.922,14097.2,263.98,695.778,188.584
14,2093.37,257.308,409.488,135.562,11601.8,264.597,568.44,179.946
15,2284.96,240.446,418.664,127.992,13563.5,256.967,610.732,168.858
16,1308.78,237.524,387.318,131.18,5427.7,234.01,595.144,172.777
17,2272.2,216.518,367.03,130.898,11890.9,223.572,550.272,171.238
18,2626.1,181.638,339.998,116.872,14890.9,205.709,553.274,155.946
19,1867.83,181.156,327.514,107.864,9386.59,202.255,525.664,149.555
20,2002.82,193.512,283.728,114.838,7517.03,215.118,465.939,160.323
21,1612.1,176.82,305.28,103.344,10380.9,190.553,459.331,147.611
22,2035.87,188.906,310.146,100.482,10595.9,205.227,479.017,142.289
23,1849.48,153.572,282.048,94.62,8550.77,182.128,406.265,131.385
24,1120.1,155.094,250.66,91.688,3196.01,182.724,372.578,130.114
25,1041.98,155.726,274.896,91.716,2770.4,177.297,451.469,132.537
26,976.518,155.786,217.668,91.616,2772.18,176.402,350.007,138.209
27,1366.04,145.876,211.142,95.294,7005.5,176.296,348.849,138.799
28,2239.7,154.06,275.802,81.66,17619.5,181.861,422.95,122.828
29,1586.95,132.084,216.84,83.256,13417.2,164.554,351.009,125.406
30,1154.95,120.06,233.932,82.682,3832.93,155.384,374.836,118.747
31,1025.73,130.112,208.964,73.466,3740.09,161.415,356.502,115.062
32,1083.57,129.536,239.238,73.014,3884.39,160.232,389.803,112.29
33,2461.47,133.938,195.204,64.964,30077.9,151.993,391.838,104.899
34,1217.46,122.078,179.946,64.126,4169.22,151.33,345.144,102.002
35,1275.54,125.088,188.178,65.996,5144.93,158.268,349.65,106.992
36,1220.32,127.902,186.522,63.112,5158.02,153.23,300.632,104.669
37,1241.03,112.944,176.222,67.282,4750.99,142.131,300.844,102.731
38,1620.89,109.008,178.668,64.342,11381.1,139.292,289.631,105.08
39,938.71,116.572,177.78,54.908,2757.44,143.879,288.564,92.2201
40,1931.87,111.932,174.83,54.822,22509,137.744,308.71,84.5574
41,1355.54,108.244,157.802,60.828,6343.49,138.758,263.562,104.012
42,1253.87,109.424,155.838,51.276,5645.72,144.194,254.805,82.1005
43,1218.97,106.164,150.12,52.212,4376.7,135.739,251.047,79.6794
44,799.234,101.896,148.754,51.624,2717.81,132.807,268.359,85.0301
45,1387.28,93.752,162.316,54.86,6781.21,132.19,308.858,86.8941
46,1159.39,93.912,181.524,52.288,7740.71,121.16,324.938,84.538
47,991.704,96.504,156.022,44.202,4677.85,139.898,309.73,74.5883
48,2146.19,101.6,158.05,53.518,21516.5,130.541,258.276,84.61
49,959.592,104.172,151.2,44.94,3687.66,142.418,278.14,69.8711
50,2231.99,89.444,137.454,47.132,21980.9,123.256,269.279,70.2319
51,618.204,84.404,144.3,43.434,1562.3,117.249,266.923,73.7221
52,823.916,92.986,130.408,44.804,4223.99,123.11,223.631,68.8179
53,902.394,95.918,133.838,44.552,5937.35,130.887,252.988,68.5678
54,1288.09,84.992,156.382,45.338,8653.26,112.983,284.091,72.667
55,601.438,86.378,153.154,38.358,1511.13,123.715,286.497,60.783
56,710.81,88.768,142.224,39.284,2530.8,124.922,255.329,66.856
57,919.68,84.19,115.468,35.956,3608.61,116.213,218.043,58.8584
58,759.574,82.518,134.046,41.14,3933.44,117.576,237.981,63.0077
59,854.074,76.728,141.72,36.93,3607.38,108.529,265.305,57.1364
60,925.924,87.834,140.984,35.92,4534.38,123.517,263.249,57.1131
61,615.554,85.452,139.644,37.538,1802.28,116.452,243.555,59.865
62,702.626,76.388,120.718,33.24,3095.1,110.47,208.908,52.1137
63,1108.67,74.506,122.316,31.466,5918.88,109.506,242.433,51.8397
64,1066.21,77.152,124.01,37.314,6761.03,110.81,254.657,60.2516
65,708.122,73.416,129.72,35.76,2640.3,102.496,243.125,58.586
66,960.368,71.55,127.404,29.992,4290.24,109.903,219.171,47.6527
67,1201.92,71.438,133.934,34.372,8658.01,99.411,258.133,56.9288
68,607.44,80.33,118.326,35.186,2772.39,115.914,205.661,57.0403
69,1064.46,73.362,117.956,29.402,8005.26,104.317,226.967,45.4488
70,526.448,65.884,126.946,30.374,1522.52,98.6086,243.57,49.7481
71,755.732,77.612,119.898,31.062,3767.02,111.474,237.436,45.6402
72,636.972,77.232,115.234,28.25,2283.45,114.119,235.609,42.6406
73,697.992,71.572,115.064,31.94,2770.68,102.738,226.29,49.4405
74,1362.8,72.636,110.11,28.15,18861.6,103.678,205.032,41.7057
75,642.87,65.658,112.048,28.934,2567.73,93.9145,215.243,44.0526
76,687.216,66.34,101.274,29.27,3227.52,98.354,185.635,44.4491
77,508.982,75.31,109.452,25.64,1667.06,110.13,214.187,35.2171
78,657.552,64.442,98.346,28.368,2980.43,95.3944,188.829,43.8986
79,619.128,59.514,116.298,25.522,3417.73,87.581,211.883,37.7887
80,522.882,59.17,96.93,26.628,1826.27,89.3876,171.978,39.5429
81,414.656,61.768,100.492,26.016,1066.35,94.8664,190.019,36.5511
82,914.556,67.14,119.44,25.416,8009.01,95.6791,225.32,36.7308
83,819.232,55.64,97.596,24.664,7733.32,85.9565,184.427,33.7702
84,772.414,60.656,92.738,23.25,6165.3,90.9541,172.916,30.6244
85,705.134,63.984,99.136,23.234,3947.29,91.5904,205.226,34.2731
86,511.176,64.172,103.45,25.254,2342.23,89.6051,218.749,33.7189
87,384.798,64.45,97.326,22.888,1152.44,89.6866,161.477,29.1343
88,464.472,53.446,96.894,22.99,1508.93,85.8698,202.307,32.527
89,658.74,63.544,95.914,24.768,4654.18,89.3044,189.833,35.7148
90,477.698,56.776,113.038,22.442,1669.79,86.8696,224.895,29.8444
91,361.632,63.342,100.86,21.396,1139.08,98.0161,185.807,26.2425
92,360.28,55.972,100.86,20.436,936.519,77.2502,207.118,24.7244
93,336.378,55.048,80.662,20.324,1157.95,85.3199,148.914,26.9524
94,418.464,62.372,88.582,20.072,1833.14,94.9505,166.009,22.3939
95,552.692,59.98,91.464,20.924,1848.4,88.9347,172.652,24.5166
96,415.796,58.11,96.936,19.462,1430.48,87.0985,189.172,20.915
97,699.294,52.646,99.934,18.936,5923.08,80.7325,181.433,19.362
98,545.406,57.75,89.824,19.834,2804.49,85.9261,169.809,22.0127
99,389.96,49.744,89.6,21.352,1668.73,76.3397,162.504,25.5821
100,444.272,52.622,81.592,20.052,2246.15,78.1081,143.797,25.4912
101,506.882,46.902,95.302,19.016,2579.96,72.5218,178.137,22.0661
102,374.64,52.504,87.142,20.044,1039.68,78.1432,179.679,21.8444
103,457.514,49.322,79.152,20.62,1822.89,78.1222,158.956,23.8763
104,568.9,55.512,95.89,19.518,3667.91,82.3927,229.716,22.3768
105,382.11,46.068,81.874,19.9,1853.95,69.1241,174.355,24.9845
106,286.996,56.99,75.608,19.734,854.838,85.5819,148.356,21.9408
107,253.704,46.142,82.36,18.826,764.354,75.7664,179.636,18.2156
108,312.856,53.59,86.448,18.624,864.557,81.1161,163.683,19.4119
109,495.268,47.078,84.366,18.084,2556.35,71.8145,167.758,18.9021
110,332.776,52.954,78.57,17.732,859.413,78.29,150.838,16.2545
111,545.984,45.026,73.752,18.326,6119.58,70.7525,140.459,16.5097
112,371.152,47.392,82,17.42,2089.88,75.9787,180.008,16.3834
113,361.836,42.666,80.7,18.726,1049.64,67.1948,161.09,19.5376
114,246.36,49.636,80.158,19.28,977.142,78.3085,164.773,21.7935
115,254.016,57.178,76.206,17.252,682.672,87.2518,156.472,15.0088
116,549.09,42.678,77.142,17.49,6063.5,69.1503,151.982,17.277
117,307.394,47.158,73.98,16.708,1079.44,72.2894,141.937,14.0235
