epsilon = 0.3
learning_rate = 0.1
discount_rate = 0.99
lambda = 0.5

T = 0.1
step,SARSA,Q_learning,double_Q_learning,QV_learning,std_SARSA,std_Q,std_double_Q,std_QV
0,10721.7,795.55,1764.49,907.07,32229.7,640.446,2272.44,448.639
1,13858.2,1913.28,2473.34,1239.05,32994.2,792.587,2451.52,593.44
2,3279.53,1738.54,1712.42,859.18,8654.45,508.483,1884.23,465.524
3,7832.29,945.475,1690.86,590.83,31606.6,490.755,1908.49,394.916
4,2603.88,834.89,1249.58,447.85,7196.4,488.291,1507.76,328.653
5,4909.82,674.255,919.015,343.2,19706.6,429.21,1193.34,301.724
6,3344.84,533.955,983.82,292.695,14208,384.416,1176.51,275.37
7,2365.74,480.065,793.42,249.47,7558.93,346.439,1033.32,259.307
8,3444.41,433.515,798.61,242.635,13211.3,321.499,1084.34,251.405
9,3489.02,397.445,575.425,189.36,10562.1,344.688,793.067,209.7
10,3169.76,380.205,662.98,207.5,15550.5,317.807,861.749,237.178
11,3648.6,302.94,496.295,181.04,27255.9,281.675,688.41,199.532
12,1683.91,313.545,545.85,164.55,5454.32,265.932,789.824,185.459
13,1453.77,290.915,473.035,166.665,2834.23,265.393,608.503,191.899
14,1596.32,243.35,438.08,160.695,9253.66,256.462,662.161,198.147
15,1329.32,226.715,421.29,148.055,3713.1,219.808,654.655,185.635
16,2055.11,224.045,407.735,122.545,10204.9,232.318,621.772,165.51
17,1271.27,209.48,406.685,122.715,5512.43,207.661,643.541,168.319
18,2583.84,208.76,318.955,118.71,12885.1,216.523,518.972,160.659
19,1491.71,182.865,351.255,116.52,4638.5,232.321,511.423,152.454
20,1407.92,185.685,252.865,132.69,7480.14,201.279,364.279,162.079
21,2660.26,183.66,270.255,107.635,23130.5,210.436,376.187,154.278
22,1935.55,143.09,294.025,109.175,12907.9,154.152,446.969,142.694
23,1270.24,159.945,216.57,98.305,4281.2,187.449,348.785,128.791
24,2725.59,150.795,295.525,103.555,14944.3,176.438,459.634,147.258
25,3198.43,152.605,312.895,83.91,19798,169.603,494.464,113.697
26,2697.93,161.96,214.205,97.29,14168.8,179.997,321.947,139.702
27,8850.17,123.95,256.145,74.985,107670,154.218,422.986,108.81
28,917.605,132.32,257.305,73.22,2174.73,162.2,430.818,124.376
29,2981.39,161.535,244.32,75.44,24932.8,174.575,396.896,122.256
30,839.795,116.47,161.38,74.88,1885.32,163.24,285.968,112.725
31,3714.77,130.075,149.55,77.47,37666.3,161.634,273.836,109.912
32,1318.49,136.055,173.855,71.48,5602.28,167.792,326.856,100.696
33,1713.09,106.095,220.36,67.49,6609.75,135.48,387.641,98.1985
34,1720.57,119.08,204.74,74.2,9125.93,156.066,340.389,116.565
35,1037.62,124.01,185.81,57.64,3152.84,159.423,364.811,94.2122
36,3217.76,99.28,182.32,54.085,31782.2,123.645,317.231,94.5793
37,1473.71,108.215,238.865,51.17,6434.25,139.318,389.96,84.4019
38,3602.04,132.755,147.505,69.99,30109.2,163.677,269.799,103.756
39,753.475,108.465,163.96,65.14,2077.84,143.393,273.036,100.326
40,1234.28,108.81,195.615,54.57,5149.09,143.232,334.523,82.6278
41,2639.16,107.835,160.57,63.16,19888.7,140.334,270,95.6583
42,1395.72,100.055,148.085,56.995,5192.7,121.339,251.295,95.7489
43,1760.25,107.465,164.395,49.655,11509,138.278,299.59,80.5174
44,1579.41,95.005,167.85,56.695,7765.94,130.653,289.71,89.6628
45,1719.51,92.39,154.14,58.145,11984.4,121.762,256.358,98.083
46,1655.46,101.71,125.835,53.45,9111.98,130.382,257.4,81.2534
47,714.39,81.38,128.845,44.835,2057.95,114.071,213.3,69.5074
48,4351.41,101.48,167.22,47.73,46891,138.447,273.456,74.0232
49,3642.52,85.19,144.445,41.795,38259.9,127.368,226.255,69.084
50,1146.23,74.36,147.105,43.19,3623.37,97.8671,298.857,70.0703
51,768.085,98.95,143.675,46.69,2471.04,138.31,250.745,71.5708
52,983.755,86.555,137.085,44.02,3550.05,122.204,236.28,76.5327
53,752.155,93.275,159.365,39.71,2641.77,129.551,321.208,61.2841
54,1130.58,100.905,153.795,44.28,6446.81,127.273,280.26,70.9693
55,700.63,82.89,134.795,44.25,4617.3,113.969,243.099,78.5513
56,1112.71,84.415,100.455,34.65,7806.17,120.011,175.832,58.5344
57,658.87,92.825,126.51,40.435,2201.81,132.703,256.966,60.798
58,529.305,79.965,125.485,38.995,1920.99,112.195,273.543,64.5305
59,1414.85,83.79,116.13,37.185,13800.1,117.89,200.651,59.3868
60,523.745,77.21,125.66,46.835,1603.74,114.127,231.539,76.5382
61,531.245,88.845,93.81,34.64,1497.98,113.363,171.581,49.1275
62,601.075,82.78,123.54,41.135,2502.25,114.483,275.695,65.6513
63,477.68,99.635,126.69,36.955,1195.44,130.34,273.431,58.2212
64,559.975,82.08,168.855,32.775,1866.81,117.961,275.661,54.9002
65,642.145,68.44,141.09,34.775,3509.46,91.0449,248.936,55.4426
66,498.9,68.785,125.755,29.025,2168.14,102.463,210.729,41.6447
67,393.18,81.38,147.245,25.685,787.031,117.703,280.994,35.2965
68,1573.86,74.055,114.69,29.305,14644.6,110.257,207.09,48.8122
69,341.325,81.46,119.15,30.22,887.392,108.565,252.061,39.5636
70,501.155,70.57,114.68,30.83,1171.01,97.0721,224.778,45.5995
71,1555.14,59.065,101.96,29.28,16133.8,81.3552,182.919,41.5606
72,1160.97,82.3,133.415,28.58,10927.8,124.009,244.839,42.2138
73,2714.87,87.875,118.78,31.75,29638.1,128.313,208.634,51.406
74,811.465,61.775,135.53,26.63,6349.56,92.347,268.324,43.5882
75,841.705,76.32,99.23,28.97,6461.43,110.254,164.717,42.2407
76,258.515,77.45,123.77,26.65,585.079,108.941,222.706,37.1906
77,404.075,66.98,93.835,23.975,1459.13,91.5226,192.518,35.5541
78,757.415,76.525,92.395,25.81,4574.82,113.196,178.61,36.9957
79,689.025,77.01,93.915,24.27,4154.26,102.674,168.275,34.7509
80,461.095,74.99,118.48,21.645,1346.53,102.534,182.151,27.3616
81,667.585,58.26,66.34,20.46,3243.92,81.5981,135.881,23.4224
82,427.4,68.58,88.155,25.56,1205.03,95.9538,141.865,31.4248
83,2806.95,51.765,107.575,26.815,22575.6,76.9589,212.422,38.8428
84,3464.57,65.9,72.45,29.865,37320.4,96.8026,156.597,46.3937
85,10987.1,72.665,119.485,24.76,149435,95.7178,228.011,36.8823
86,346.325,55.39,131.6,20.81,818.843,81.4149,243.431,23.5978
87,682.425,47.865,90.61,21.555,4760.9,73.4307,191.094,31.7546
88,302.285,63.87,96.01,27.675,626.559,93.9253,161.392,43.6379
89,728.575,54.3,73.9,20.65,6084.37,85.6523,131.138,25.8687
90,743.115,52.015,104.475,23.69,4737.84,76.7837,185.642,36.0782
91,325.44,55.655,110.8,25.255,768.15,86.7104,258.843,44.2743
92,322.76,63.675,84.96,23.79,1452.75,88.6639,158.878,35.8159
93,898.575,65.525,100.36,20.415,8280.44,99.0045,182.909,28.6636
94,440.17,50.115,80.13,22.47,2104.85,74.4136,162.597,27.1584
95,441.215,61.335,97.07,20.67,1690.08,88.5518,169.457,21.4963
96,614.165,57.26,113.65,19.915,4346.69,84.1584,204.366,20.8542
97,524.95,68.06,110.04,17.285,3324.88,101.882,209.835,16.7512
98,392.865,60.675,90.9,18.505,852.931,86.2124,196.461,17.0608
99,494.205,55.99,94.01,19.95,2653.49,89.9884,171.259,23.1987
100,3165.99,54.895,88.545,18.425,41272.1,77.993,195.667,18.1159
101,489.29,52.95,94.355,22.295,2469.56,76.3542,206.65,25.7373
102,843.025,60.69,95.13,18.455,5593.37,95.0268,233.554,17.0287
103,1958.8,43.53,73.915,17.675,17410.3,61.4707,152.523,16.658
104,5646.94,53.305,91.22,20.815,75282.4,85.4111,168.703,31.8085
105,1146.98,50.77,87.87,17.48,9499.97,81.2431,178.438,19.8363
106,293.975,52.965,71.795,21.56,821.984,74.3373,121.543,21.5867
107,313.07,50.03,79.915,16.205,848.2,76.0521,141.558,11.9056
108,331.2,44.22,96.53,18.495,1189,70.4205,198.579,21.1601
109,417.48,47.775,100.345,16.68,2055.29,69.1935,209.16,12.2551
110,246.26,48.38,106.86,17.25,528.433,78.5021,185.887,15.8539
111,278.425,39.97,87.34,18.74,944.52,58.5443,201.083,17.4949
112,681.365,42.515,87.685,17.05,4972.54,61.8189,172.245,13.1995
113,530.255,54.935,74.995,17.545,5049.52,79.2711,149.135,15.2587
114,945.04,43.42,82.165,17.315,9992.79,67.7332,163.055,14.4629
115,315.97,50.42,88.495,16.775,611.28,73.073,199.51,11.6153
116,329.065,49.59,98.715,18.21,957.239,73.9698,231.758,18.6903
117,559.225,41.375,84.335,17.18,3411.48,67.9247,169.151,14.1562
118,2223.24,42.87,57.945,19.59,26340,67.0601,114.778,22.5584
119,583.425,57.22,76.365,15.37,5390.83,84.007,144.124,8.57165
120,169.735,41.15,70.34,18.17,396.03,67.1086,133.578,23.239
121,27085.3,41.77,88.03,18.195,377319,60.24,175.674,18.9118
122,256.085,53.585,73.47,18.37,919.176,79.7778,130.225,17.6596
123,221.025,47.92,75.565,17.755,558.464,71.2666,149.973,21.4631
124,153.945,49.85,77.14,17.445,301.321,74.7681,175.922,16.1925
125,182.93,45.705,78.855,16.705,558.611,65.8942,165.496,12.0681
126,2008.21,43.365,75.105,16.2,24976.3,67.126,139.286,14.3297
127,178.275,45.67,77.27,17.015,351.894,69.2455,143.932,12.4364
128,386.525,37.93,79.285,16.605,2802.95,58.959,152.802,14.9633
129,445.305,38.395,76.1,16.9,2675.76,61.9822,202.287,13.477
130,370.71,45.945,73.505,16.585,1769.58,64.7936,131.111,11.8858
131,235.05,38.25,65.59,16.59,863.718,60.3651,115.924,13.1393
132,295.56,42.88,80.53,16.22,1535.27,66.467,138.663,9.36598
133,292.605,43.07,83.055,18.915,738.072,71.7584,157.908,22.1957
134,264.185,41.245,100.46,16.24,1084.53,61.0967,213.504,14.0649
135,252.49,38.075,58.215,15.21,1006.13,57.609,109.756,9.52396
136,146.015,45.455,74.575,16.265,281.395,66.0127,136.815,12.378
137,269.66,42.475,70.23,15.645,834.789,65.5224,153.604,9.2287
138,230.085,44.195,68.36,15.15,446.64,70.609,120.282,7.85159
139,211.485,38.335,69.81,16.115,641.996,56.1124,133.854,9.2505
140,202.685,34.83,78.92,14.72,490.596,49.3117,156.601,10.3722
141,282.86,38.435,66.75,15.75,1319.83,55.6558,143.149,9.66527
142,523.685,40.8,76.4,16.035,3639.48,64.8669,144.305,9.3725
143,1416.52,36.5,66.325,15.515,16470.4,59.8939,134.207,9.47944
144,1032.77,34.845,52.115,15.515,8361.2,52.1601,88.328,7.53125
145,159.845,34.5,57.555,15.17,377.846,51.6748,126.842,6.9779
146,213.475,31.045,73.22,16.115,749.247,53.1463,147.566,10.5205
147,162.62,40.495,77.25,16.065,689.859,63.4848,203.267,12.2074
148,297.735,37.965,61.425,16.565,1640.3,61.051,112.29,9.47817
149,595.635,36.815,66.03,16.205,4698.9,61.4936,122.373,9.69603
150,209.035,31.15,80.175,14.465,721.25,52.6185,163.102,7.8351
151,123.035,27.265,75.395,15.49,249.412,33.1238,153.885,10.5432
152,738.535,29.96,56.025,15.66,8347.06,48.3956,113.691,9.15993
153,291.63,32.535,58.355,16.28,1325.56,50.7317,102,13.4889
154,303.015,32.03,65.455,17.935,1289.31,51.1858,129.7,25.9883
155,1218.55,29.98,71.14,15.345,8748,47.7293,183.535,7.36926
156,240.53,37.97,62.275,14.475,993.967,53.9006,125.575,9.53779
157,993.245,31.575,59.45,15.255,9822.57,47.3278,106.663,8.97942
158,217.47,29.15,42.68,15.795,877.155,48.1127,82.7468,8.37454
159,187.26,26.39,61.35,14.85,723.206,40.6435,114.331,8.03041
160,179.86,31.335,61.805,15.045,420.922,43.7612,112.755,8.37514
161,319.805,35.26,65.56,15.83,1946.16,59.1487,116.932,8.55985
162,329.38,29.84,52.68,15.765,2611.69,44.9593,104.139,11.2071
163,205.08,24.085,64.92,14.395,725.128,34.4927,129.703,9.7928
164,152.845,28.47,55.31,16.66,476.539,44.5631,97.5551,11.6518
165,213.49,33.535,67.965,14.475,500.585,48.5766,124.721,5.12537
166,120.84,35.175,59.82,16.035,381.303,52.6268,121.546,12.9925
167,521.8,27.015,54.475,15.32,5396.83,44.1972,127.409,8.49633
168,174.135,33.075,62.08,15.055,635.573,56.4402,129.356,5.92722
169,332.93,35.33,61.98,16.205,2134.41,56.1452,108.445,13.7249
170,2230.96,27.09,57.73,16.125,28153.3,37.9821,139.684,10.5351
171,545.94,31.305,43.37,14.885,5286.27,47.2739,75.2784,7.47942
172,159.625,30.83,56.065,14.395,594.027,45.2203,101.534,5.6797
173,234.895,27.405,66.12,14.65,943.717,36.6208,132.28,6.43409
174,326.935,31.125,47.65,15.21,2595.8,49.885,95.4874,8.31721
175,262.115,23.55,48.06,15.88,1873.89,37.1556,128.209,13.7046
176,109.37,33.15,50.77,15.655,338.395,47.8543,98.0999,9.06454
177,90.055,30.905,58.185,15.85,187.755,46.2106,136.834,7.04113
178,273.27,28.96,53.76,13.985,1507.51,49.8558,94.3281,5.63691
179,114.25,29.575,54.45,15.79,477.19,46.1564,114.526,11.0728
180,1022.67,29.77,57.57,15.475,8929.27,38.5394,109.807,12.4294
181,986.65,27.28,50.505,15.29,11356.5,39.9936,105.501,9.9371
182,188.46,26.55,59.835,15.19,1201.04,43.1228,113.787,6.42759
183,534.685,27.115,45.89,14.985,5914.11,42.2171,78.1013,6.80035
184,400.15,24.34,44.55,14.74,3859.35,37.3039,105.667,7.69106
185,477.13,29.15,48.74,15.48,3935.64,44.2194,103.543,10.4661
186,122.455,22.995,48.315,15.295,305.302,34.8586,97.8125,7.25451
187,130.405,30.755,59.23,14.165,319.945,47.1216,143.998,5.45415
188,267.095,24.58,44.5,15.815,2230.04,31.8184,90.698,10.1332
189,381.845,25.64,51.17,14.87,3042.76,34.0899,93.6215,5.95677
