epsilon = 0.3
learning_rate = 0.1
discount_rate = 0.99
lambda = 0.5

T = 0.5
step,SARSA,Q_learning,double_Q_learning,QV_learning,std_SARSA,std_Q,std_double_Q,std_QV
0,1541.38,940.805,1432.31,959.75,1861.15,895.183,2172.84,863.008
1,2862.76,2228.03,2717.91,1491.08,2369.66,1079.02,2514.37,941.318
2,2356.63,1487.15,1778.77,1067.28,1943.36,931.834,1831.2,785.515
3,1839.72,1155.1,1759.09,730.17,2038.61,854.808,1754.41,620.027
4,1463.26,749.49,1279.6,567.275,1722.5,610.068,1449.43,544.604
5,1058.95,670.095,1432.49,419.95,1119.39,601.057,1549.31,413.193
6,1138.43,663.525,1062.2,344.515,1359.59,558.986,1291.41,356.043
7,1178.81,597.065,795.825,357.82,1301.63,533.746,883.324,388.574
8,1010.67,498.29,872.45,277.005,1278.79,474.8,940.91,314.841
9,891.99,400.62,747.01,238.43,947.974,402.735,919.937,299.193
10,768.805,450.62,658.565,251.01,952.823,396.886,831.738,317.477
11,998.49,354.67,629.055,225.555,1317.71,373.485,767.855,265.465
12,806.965,310.1,518.805,204.38,1120.72,357.574,569.521,284.718
13,719.34,359.295,621.17,203.745,893.801,401.964,795.581,236.076
14,728.79,283.97,468.64,180.305,1024.47,314.051,631.02,222.908
15,655.375,248.015,491.115,178.755,802.664,288.123,605.255,239.747
16,579.69,259.425,373.105,182.445,780.45,288.044,434.012,221.833
17,650.84,248.4,398.935,145.535,774.094,277.505,476.67,194.052
18,543.89,218.08,419.415,181.77,814.338,262.733,594.962,231.479
19,567.17,189.075,359.085,136.225,696.2,234.027,477.643,184.348
20,552.545,179.34,326.03,150.07,798.348,219.84,445.701,220.66
21,573.39,175.315,309.16,172.52,776.251,228.596,443.726,222.38
22,534.915,204.37,359.445,115.31,759.651,268.067,482.115,179.32
23,527.945,198.93,375.315,123.725,692.338,244.683,504.177,176.87
24,411.86,179.015,329.8,116.57,497.042,254.263,492.372,172.945
25,437.68,161.065,327.475,122.485,562.993,220.268,490.319,185.692
26,453.49,159.305,256.3,119.835,587.688,199.574,347.433,181.022
27,364.635,189.47,287.49,105.14,474.486,242.6,460.949,164.287
28,404.645,157.45,252.955,95.485,591.396,219.398,391.031,143.721
29,437.79,125.385,283.91,92.985,541.536,174.637,546.253,163.697
30,362.985,152.05,296.145,119.325,500.959,198.18,408.905,175.623
31,403.8,146.14,241.325,109.18,549.868,186.67,324.985,154.839
32,417.185,155.92,216.74,109.595,552.023,190.38,346.29,160.296
33,372.245,123.74,268.09,85.36,589.084,180.075,354.648,139.339
34,366.015,159.43,209.76,91.985,459.879,204.989,339.333,135.946
35,349.885,141.205,228.445,92.31,507.8,207.726,315.636,137.735
36,352.315,121.19,200.645,81.64,474.977,156.571,327.244,131.395
37,341.56,133.525,193.805,85.52,397.577,183.426,294.021,142.231
38,419.74,152.705,205.905,71.29,543.798,204.681,344.582,117.982
39,364.385,127.19,193.1,81.72,452.64,174.76,254.781,113.44
40,328.32,126.825,201.715,89.75,502.718,177.883,304.517,146.067
41,323.845,111.38,171.57,88.295,475.868,135.108,285.509,140.159
42,381.28,120.26,182.915,74.365,641.95,185.852,312.896,140.421
43,315.33,108.305,161.19,89.805,424.446,157.564,245.26,135.882
44,278.305,89.315,173.965,64.04,424.498,133.616,283.186,111.017
45,268.17,112.805,174.065,68.48,362.542,153.583,241.065,105.132
46,262.93,94.71,143.875,74.595,342.274,144.613,230.622,116.735
47,299.13,111.675,151.065,77.7,410.142,155.97,251.354,123.381
48,202.895,94.27,157.38,62.095,287.006,132.087,285.137,95.6471
49,336.28,111.045,166.68,61.93,489.573,166.985,264.465,91.6953
50,240.955,130.83,153.13,74.535,371.571,167.686,270.662,117.805
51,288.155,109.59,184.775,80.415,450.81,164.692,279.962,125.059
52,255.51,110.945,151.115,78.46,377.493,158.624,279.949,111.906
53,248.44,94.665,167.495,58.565,364.71,120.938,251.484,83.001
54,294.67,112.795,161.63,62.72,462.397,152.554,255.579,99.005
55,265.035,107.515,162.055,64.575,437.454,141.898,252.674,97.6753
56,270.83,104.625,145.24,51.86,376.118,159.8,241.439,85.5967
57,264.43,94.42,112.405,56.83,382.019,129.981,159.852,90.1218
58,217.435,114.94,143.005,78.105,303.019,177.214,280.624,108.641
59,214.045,90.78,141.1,54.17,315.419,130.983,224.828,85.4987
60,220.315,90.965,135.385,58.2,303.689,136.994,230.659,79.1361
61,231.085,93.075,147.885,57.775,360.61,134.068,256.596,76.198
62,244.955,92.865,135.135,57.535,347.89,141.937,207.415,74.1259
63,242.36,114.33,139.26,58.915,316.148,160.237,232.919,87.6277
64,196,87.755,128.04,56.865,338.255,133.181,190.626,87.0861
65,167.52,80.425,156.78,59.92,232.046,131.394,269.972,90.3481
66,170.115,99.53,137.4,51.245,268.544,132.559,211.488,67.4393
67,212.35,73.965,133.33,67.285,342.191,94.1543,222.148,96.0223
68,197.145,76.76,150.465,61.18,315.097,110.292,243.215,95.0181
69,179.545,73.28,128.655,54.695,276.421,119.498,219.647,79.7034
70,203.165,100.695,123.395,60.075,313.144,137.631,217.101,89.1944
71,198.74,74.905,111.295,54.815,294.769,105.685,156.549,82.0166
72,161.285,85.43,123.025,50.75,239.014,121.3,184.453,62.0734
73,183.53,83.98,130.005,57.655,269.562,119.149,238.208,77.5841
74,199.87,73.79,108.765,55.85,321.934,114.223,176.466,74.6098
75,205.75,85.205,124.115,60.57,319.578,133.732,216.703,72.2228
76,165.79,83.585,117.165,60.455,259.043,115.948,165.477,87.383
77,170.205,94.33,142.905,49.305,289.438,132.512,240.771,70.486
78,130.815,87.445,129.335,47.345,198.545,116.475,223.099,71.6284
79,169.855,82.8,126.305,43.885,258.685,139.955,227.592,56.1849
80,160.635,80.045,103.5,56.29,263.288,127.718,173.113,82.117
81,224.125,83.465,97.785,44.945,364.058,115.11,156.516,62.7125
82,173.635,74.495,110.275,46.395,257.824,104.265,176.097,57.2193
83,189.51,83.055,133.13,50.805,316.176,116.978,201.127,82.0781
84,139.205,73.26,111.445,47.1,217.528,111.641,178.219,52.0942
85,181.43,78.86,116.18,49.77,288.799,110.6,173.835,71.2883
86,121.425,81.295,118.475,44.07,179.495,110.273,204.256,51.4192
87,164.845,83.385,122.695,40.33,248.544,120.302,198.814,50.5242
88,156.255,76.23,128.31,51.41,289.402,101.612,233.727,61.3799
89,146.365,64.99,128.84,40.735,217.871,86.7642,197.805,47.4697
90,132.875,82.185,91.79,43.685,212.492,123.589,156.034,57.409
91,153.985,78.66,106.33,45.07,225.61,108.091,161.072,62.0665
92,147.065,67.655,112.8,46.03,225.183,98.7449,185.716,48.1463
93,149.45,72.705,116.365,44.53,267.643,103.673,188.139,49.6457
94,166.31,79.915,106.435,47.035,255.655,118.278,188.529,55.2401
95,178.55,64.43,93.315,46.1,298.657,93.2709,145.151,47.904
96,161.29,70.3,109.345,49.185,275.103,105.569,172.068,59.6313
97,141.435,67.565,115.085,48.185,210.974,95.2369,207.791,58.215
98,152.195,73.11,105.265,47.895,241.971,115.256,181.51,54.1869
99,161.39,74.765,124.455,42.415,250.607,99.888,231.003,42.0699
100,127.495,62.585,105.715,45.085,198.042,77.7627,182.051,52.3206
101,138.285,67.3,113.41,43.84,221.085,100.129,212.741,42.7743
102,151.385,71.01,88.7,44.66,251.892,102.828,137.016,48.8151
103,184.895,68.06,122.74,47.67,299.955,96.9962,199.151,50.5191
104,132.92,68.955,103.675,43.22,251.18,95.8295,163.063,46.2253
105,125.285,58.64,96.455,44.545,209.991,91.5738,154.858,42.0163
106,152.665,69.79,102.525,38.665,251.939,92.3968,197.976,33.7701
107,135.005,79.63,90.885,46.07,205.686,121.084,145.276,53.8191
108,162.92,62.27,95.185,40.105,282.438,87.8746,154.977,36.2386
109,137.81,72.945,97.875,44.23,219.916,110.573,150.695,52.8457
110,138.425,60.925,108.27,45.455,247.901,86.4665,160.892,47.4128
111,127.05,75.33,85.615,40.35,179.607,112.547,139.569,35.1031
112,144.12,60.29,101.9,36.47,247.176,82.0893,142.525,31.5268
113,162.445,72.38,111.135,38.865,268.97,94.0102,193.546,38.1734
114,132.495,62.33,101.21,39.925,225.176,78.0759,191.238,36.8349
115,135.145,66.65,96.68,39.46,227.943,91.823,150.873,36.413
116,129.985,62.28,95.89,40.635,225.538,79.69,149.053,34.2098
117,124.02,74.525,103.07,41.61,203.928,98.1005,186.206,36.9656
118,134.74,62.43,96.02,38.63,192.191,77.9851,150.888,30.1233
119,161.225,62.455,86.875,37.7,247.723,80.5271,140.604,27.1805
120,124.115,63.735,82.02,42.025,197.814,85.1825,133.507,43.7536
121,133.84,62.655,75.675,43.07,223.748,85.29,123.4,43.8321
122,126.595,68.58,78.935,39.975,223.306,85.3789,130.127,33.3167
123,131.69,56.445,96.695,41.125,293.117,71.2672,156.153,42.3278
124,108.445,64.89,76.57,44.465,188.301,82.0882,115.771,43.8687
125,154.505,65.325,92.425,42.625,289.274,77.7026,160.264,37.9631
126,120.355,60.615,81.31,38.41,180.754,83.0564,143.922,38.1444
127,120.16,63.835,71.205,41.095,193.986,78.9535,122.614,31.9165
128,132.13,73.595,99.68,41.815,205.165,102.177,179.408,33.9379
129,131.89,61.65,94.135,38.795,226.756,71.5828,136.636,29.6682
130,130.54,66.765,97.44,41.33,200.947,77.9616,180.696,27.3818
131,102.745,65.92,96.835,40.49,166.609,74.3283,173.818,35.1987
132,136,63.805,85.86,40.49,225.944,76.6264,151.017,30.5747
133,99.695,62.89,92.275,36.61,157.686,72.0443,158.963,29.096
134,114.355,58.8,75.485,40.165,185.584,66.7194,115.278,28.274
135,108,66.9,85.325,43.855,187.814,76.3438,156.631,34.1609
136,130.825,55.6,84.29,38.235,203.076,64.1896,138.284,30.0047
137,114.89,67.85,72.375,38.715,204.396,97.7953,108.228,38.4249
138,130.585,67.725,93.245,36.915,208.497,90.6613,152.266,29.2273
139,97.235,66.14,95.27,40.185,182.951,85.8891,172.81,35.2226
140,110.075,63.715,66.325,36.36,193.16,66.6028,155.793,22.0025
141,149.12,68.31,90.46,37.045,258.136,80.7516,163.991,25.1824
142,102.21,63.67,77.885,37.89,156.973,81.2575,137.342,28.5328
143,133.17,63.54,84.08,39,196.296,78.2043,132.284,29.2925
144,95.585,69.665,75.63,35.735,173.937,76.3468,122.235,20.7387
145,93.865,54.195,92.175,40.05,168.581,48.5748,152.27,30.6732
146,104.03,65.655,88.29,37,155.572,71.0366,148.706,30.8094
147,97.685,67.335,95.88,39.39,157.383,73.2896,162.066,27.3283
148,96.835,60.855,78.925,34.245,150.386,69.7579,138.918,19.9746
149,116.845,63.565,80.905,35.87,201.567,70.723,132.876,22.4173
150,120.43,60.66,81.715,34.915,210.934,64.9313,133.195,20.1064
151,111.18,72.405,82.5,38.835,169.363,88.1742,137.778,24.2635
152,102.435,69.205,78.82,36.37,159.204,83.4881,117.034,21.5391
153,89.67,70.495,87.26,36.82,147.851,85.5588,140.206,19.8279
154,92.23,68.485,88.435,35.995,170.279,71.4281,139.038,22.954
155,104.375,57.95,74.705,37.655,172.153,59.2121,118.891,25.1155
156,102.25,58.63,89.96,34.6,186.647,66.705,130.542,18.2705
157,118.725,63.09,70.89,35.905,205.434,69.0642,116.305,18.8641
158,98.925,59.455,81.475,37.215,186.509,68.6457,134.905,20.9002
159,88.75,57.97,69.405,35.27,165.169,60.8936,107.92,21.675
160,128.49,62.435,82.825,34.6,226.165,75.5981,179.277,17.3222
161,84.005,60.01,77.755,31.38,135.023,59.8654,122.491,16.938
162,101.83,61.885,78.575,35.765,165.325,66.2243,119.692,21.2403
163,125.695,66.86,82.615,36.73,205.043,85.1485,173.324,23.4239
164,122.065,65.655,99.805,33.255,216.772,61.3165,161.701,17.683
165,125.665,59.16,74.095,33.525,261.949,61.2017,135.766,21.1717
166,99.355,67.09,88.255,35.47,161.48,62.7022,135.016,19.2862
167,109.36,52.105,69.06,37.605,171.721,41.0439,124.98,22.3
168,102.025,54.875,84.715,36.485,190.996,44.5992,124.687,23.5763
169,109.15,63.37,70.59,35.005,179.073,64.6693,109.853,18.8041
170,101.095,59.93,74.535,35.435,157.704,67.6313,109.736,20.6377
171,93.855,62.73,63.22,37.555,166.959,68.0451,107.374,24.8098
172,92.625,63.64,85.92,39.61,148.264,60.7938,168.684,21.9095
173,133.535,65.38,62.16,36.895,213.651,64.2556,101.42,18.7028
174,112.595,59.175,74.88,34.575,188.924,58.2568,125.643,21.0669
175,91.22,60.295,75.96,37.15,146.107,53.3298,123.337,22.2299
176,110.19,57.405,76.905,34.635,178.438,46.801,125.544,18.1174
177,108.17,58.3,66.765,36.87,188.896,48.4036,114.899,21.6398
178,112.245,60.215,77.92,36.54,217.146,54.81,117.713,18.5609
179,102.405,59.56,71.745,36.06,178.531,50.8498,130.317,23.1531
