epsilon = 0.3
learning_rate = 0.1
discount_rate = 0.99
lambda = 0.5

T = 0.5
step,SARSA,Q_learning,double_Q_learning,QV_learning,std_SARSA,std_Q,std_double_Q,std_QV
88,155.294,72.944,126.228,49.192,243.943,112.183,211.446,58.2947
89,178.132,75.964,90.92,45.216,295.458,106.498,153.635,54.3551
90,141.074,83.72,111.218,44.132,230.664,114.61,189.696,51.6699
91,168.626,79.496,104.07,45.742,277.319,112.464,178.219,56.168
92,155.404,72.74,110.278,43.724,260.731,104.172,202.554,56.4483
93,133.208,67.13,107.996,47.09,211.855,96.1859,176.484,52.5917
94,164.872,69.808,97.458,44.004,288.76,98.7607,161.517,52.3693
95,152.622,72.85,93.216,45.588,242.626,100.577,158.735,49.5343
96,154.686,72.612,88.396,48.06,266.211,107.095,140.23,56.9555
97,152.1,74.264,106.488,43.852,227.465,109.77,199.504,51.8753
98,166.21,70.876,105.368,43.628,251.854,102.533,179.098,45.3525
99,152.208,67.634,107.65,43.094,239.814,96.8019,193.476,49.0337
100,139.292,74.906,103.956,47.608,239.341,111.915,194.546,53.1706
101,138.752,75.662,109.806,42.868,205.859,113.492,177.153,44.0381
102,149.892,73.694,105.722,42.726,247.424,100.11,208.142,46.1426
103,122.598,87.678,104.47,44.34,200.193,124.462,179.48,47.329
104,123.42,70.888,102.23,41.888,195.487,102.438,190.247,48.9202
105,140.216,73.526,98.166,45.442,208.294,95.7873,152.294,51.6736
106,138.234,68.69,97.342,42.09,254.519,96.0637,163.831,42.9547
107,150.182,68.308,99.29,41.16,260.2,91.9036,153.807,40.4331
108,129.14,70.062,120.856,44.574,218.335,93.757,205.661,47.4259
109,144.898,71.474,122.282,44.262,242.154,99.597,196.439,47.9194
110,140.46,73.656,92.636,40.642,229.684,101.254,151.491,39.1593
111,129.902,63.908,108.76,40.432,212.321,82.2993,197.654,38.7336
112,136.734,74.292,99.94,44.444,220.776,99.8603,168.076,41.6927
113,137.184,65.726,103.95,42.158,227.145,87.9987,174.051,42.6209
114,118.682,65.976,89.168,40.072,179.191,87.2241,140.297,33.1717
115,117.406,71.178,101.118,41.524,197.14,84.8996,163.523,35.7408
116,128.954,64.172,93.86,42.43,204.345,79.585,165.374,44.0981
117,131.38,68.068,93.932,40.244,232.3,83.1626,155.042,37.1649
118,126.356,68.188,86.966,39.27,198.144,88.8917,141.425,35.5254
119,130.014,62.518,110.174,41.784,212.885,81.2132,197.108,38.5682
120,108.438,53.49,96.544,40.924,186.303,69.7179,157.64,39.5869
121,133.85,68.188,96.41,38.382,211.432,92.7738,153.097,32.7902
122,147.564,66.484,89.346,38.494,256.636,78.7286,179.237,31.2686
123,137.364,64.156,96.316,42.91,219.426,81.7712,166.683,39.5296
124,146.528,60.506,96.348,40.336,243.21,73.7535,159.485,33.4076
125,150.068,64.778,94.566,40.392,235.149,82.2555,162.437,35.368
126,133.386,64.562,101.468,38.166,241.538,75.4319,169.572,30.6247
127,134.516,60.294,98.546,40.788,230.983,69.4456,164.763,36.1021
128,125.718,61.648,95.334,38.338,207.658,73.2016,149.391,33.7917
129,134.47,66.41,86.974,39.266,245.3,91.1624,144.137,29.8223
130,121.424,61.24,96.086,40.082,203.215,78.4603,167.055,34.237
131,122.806,63.382,85.986,40.556,223.687,77.0228,153.001,34.5978
132,120.314,60.396,90.654,40.518,199.816,76.5205,152.049,33.4538
133,118.51,65.458,87.86,37.852,197.734,82.255,148.044,26.525
134,109.606,57.29,78.478,41.146,179.868,64.7941,138.7,33.5922
135,112.192,60.758,95.116,43.386,187.37,69.4269,158.619,37.1118
136,126.356,65.684,80.484,39.01,229.649,80.7129,133.865,27.1322
137,118.042,59.94,95.678,39.846,197.918,64.4429,151.817,28.5773
138,110.592,60.952,84.922,37.778,175.409,68.1311,142.342,28.9023
139,132.648,63.834,84.094,38.172,232.076,70.8962,138.185,30.0214
140,113.634,66.914,81.392,37.94,194.02,74.1586,125.577,25.8869
141,136.152,63.144,88.056,40.62,228.433,72.7996,150.606,30.6768
142,114.282,66.582,76.392,39.064,173.695,75.9702,124.496,29.838
143,113.996,60.8,80.856,37.692,204.119,67.6123,135.192,22.307
144,116.964,68.278,82.332,39.94,222.188,76.7961,158.086,35.2521
145,124.96,69.446,78.446,37.812,219.594,86.1153,122.454,27.7288
146,101.458,58.99,80.212,37.062,182.36,66.8106,128.998,25.5
147,105.63,65.796,71.752,35.492,183.457,86.3434,130.574,22.148
148,122.172,62.682,80.776,38.496,201.746,67.6833,129.985,27.3242
149,113.77,62.584,84.24,40.078,192.038,74.4513,130.159,28.3476
150,110.838,65.816,85.222,36.506,186.509,82.1658,134.46,23.7496
151,107.114,59.72,77.05,36.832,173.882,61.9481,116.31,24.1899
152,106.442,64.6,81.248,36.354,177.764,74.5421,146.187,24.5022
153,109.378,63.43,77.918,38.186,204.919,74.726,128.616,28.5318
154,104.956,60.714,78.376,36.118,182.3,67.1073,128.489,23.5554
155,109.764,60.51,85.006,37.356,191.244,64.1887,135.943,23.8654
156,111.674,62.464,83.24,36.46,184.135,64.5174,149.191,21.3907
157,102.02,64.386,74.722,37.568,161.604,72.6942,112.797,24.5809
158,112.202,61.312,74.836,37.99,182.204,67.2068,125.934,29.7046
159,106.588,64.314,73.34,38.626,194.66,67.6775,117.631,26.6449
160,107.286,57.704,69.57,36.524,171.878,58.2877,112.428,22.0849
161,104.578,68.016,73.804,37.058,189.519,75.6201,127.299,23.5234
162,99.858,57.834,80.508,36.684,171.324,62.6417,127.731,21.33
163,98.998,60.95,81.978,37.042,162.824,63.3244,144.231,22.7578
164,106.018,60.58,87.658,34.776,173.428,64.7641,145.26,20.4566
165,112.43,63.468,72.386,37.268,203.205,62.8353,132.123,23.0832
166,107.974,63.418,86.168,38.07,176.811,71.44,134.525,22.9651
167,95.096,60.846,74.67,36.994,144.048,66.0348,109.113,24.2322
168,110.078,66.45,72.814,35.418,204.704,65.174,123.813,19.8192
169,84.208,58.636,80.384,36.066,142.757,54.8786,133.721,20.6094
170,106.174,63.238,72.744,36.314,203.798,65.5328,104.497,20.1033
171,97.474,63.028,79.474,34.616,163.285,67.8407,132.852,18.3962
172,94.526,59.69,78.692,35.846,151.941,62.7642,121.121,22.0491
173,104.768,62.088,75.834,35.89,180.395,60.8187,124.53,21.8086
174,111.54,65.548,71.648,36.616,182.835,60.8714,106.153,19.9039
175,95.322,62.21,74.372,38.026,161.575,57.1178,132.351,24.0387
176,92.612,65.448,76.87,36.472,154.376,64.6967,128.86,22.4769
177,106.288,61.31,57.984,35.568,176.235,60.8839,82.4989,20.9918
178,96.62,60.68,69.168,38.144,178.162,58.7607,111.778,23.9641
179,105.028,60.544,81.832,36.204,177.275,64.3376,124.792,19.8581
180,93.782,59.076,83.738,36.022,160.366,58.3546,143.364,22.6166
181,94.912,60.694,71.294,36.29,153.587,55.4369,105.574,26.8347
182,92.024,59.762,80.5,37.868,152.012,56.1908,133.718,24.8662
183,100.51,57.044,72.648,36.01,169.445,56.1972,113.419,20.7339
184,100.172,62.16,78.01,37.228,167.97,63.6339,130.146,25.6715
185,112.544,57.94,77.322,36.808,193.292,51.5191,124.752,20.1782
186,94.02,60.804,68.026,35.382,152.736,60.3741,103.755,19.7629
187,109.222,59.882,69.808,36.518,184.419,61.754,113.512,19.7696
188,88.84,58.164,73.184,36.256,155.873,51.5839,117.161,19.9872
189,110.394,56.32,74.342,36.318,192.852,55.5796,133.385,18.379
190,95.712,61.9,62.326,34.848,161.904,59.7001,103.083,19.7889
191,96.054,58.436,71.934,35.888,176.84,50.0306,133.606,19.2216
192,95.686,53.712,67.106,36.286,151.042,42.4962,111.478,18.05
193,84.534,58.848,75.09,35.422,147.075,56.4462,108.731,18.666
194,91.594,54.792,69.168,36.152,139.235,47.4348,121.336,19.8418
195,101.824,57.91,65.042,35.754,175.673,56.2432,103.67,20.1099
196,94.32,53.382,76.266,35.174,153.623,46.9922,118.887,19.1893
197,86.056,56.21,67.682,36.146,155.468,49.7032,102.495,20.0449
198,94.008,58.128,65.13,34.974,163.566,48.9964,90.7978,17.4376
199,81.306,59.804,72.078,36.182,141.035,53.9786,123.368,18.9908
200,79.346,56.712,66.724,34.838,119.795,53.0331,102.601,21.1392
201,85.366,55.248,74.194,35.146,148.705,50.6615,114.289,18.5599
