===> EVALUATION OF SARSA

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.5
discount = 0.99
lambda = 0.3
final number of steps=45

===> EVALUATION OF Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.5
discount = 0.99
lambda = 0.3
final number of steps=31

===> EVALUATION OF DOUBLE Q LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.5
discount = 0.99
lambda = 0.3
final number of steps=4779

===> EVALUATION OF QV LEARNING

Evaluation of the learnt policy with exploration rate of epsilon 0.5
learning = 0.5
discount = 0.99
lambda = 0.3
final number of steps=43

Run   sarsa   q_learning   double_q_learning   qv_learning
0   5012   5533   5581   5780
1   5683   5519   6152   5590
2   5144   5613   4953   5302
3   4863   5209   5080   4945
4   4538   4240   4762   4768
5   4325   3292   5041   3037
6   1720   1319   4754   1072
7   688   592   3826   559
8   466   385   3421   346
9   345   215   2414   182
10   116   69   2341   71
11   40   37   1786   38
12   41   35   1303   34
13   38   32   1076   31
14   33   29   873   29
15   30   27   667   29
16   30   28   522   27
17   30   27   399   27
18   32   28   355   28
19   32   27   244   28
20   30   28   204   28
21   32   28   124   28
22   30   27   116   28
23   29   28   98   28
24   31   28   76   28
25   32   27   71   28
26   32   29   49   29
27   30   28   36   27
28   31   28   44   28
29   33   28   34   28
30   31   29   33   28
31   30   28   34   28
32   31   28   30   29
33   31   28   29   28
34   34   28   29   28
35   35   28   30   28
36   34   28   28   28
37   33   28   28   28
38   33   28   29   28
39   32   28   29   28
40   30   29   29   27
41   32   29   28   29
42   33   26   28   27
43   32   26   29   27
44   30   26   27   28
45   31   27   28   27
46   30   28   28   28
47   32   27   27   29
48   33   28   27   29
49   32   28   28   27
50   31   28   28   28
51   33   27   29   28
52   34   28   27   29
53   32   27   27   29
54   30   27   27   28
55   31   27   29   27
56   32   27   29   28
57   30   29   28   29
58   33   27   28   28
59   32   28   27   30
60   32   27   28   29
61   32   28   27   29
62   31   28   28   28
63   30   28   27   28
64   31   28   28   29
65   32   28   27   29
66   32   27   28   29
67   29   27   28   28
68   32   28   28   29
69   34   29   27   28
70   31   27   28   29
71   32   28   28   27
72   30   27   29   30
73   32   28   27   29
74   31   26   27   29
75   31   29   26   27
76   31   27   28   29
77   30   28   26   28
78   31   29   29   29
79   33   27   27   29
80   32   27   28   29
81   33   28   28   28
82   30   28   28   27
83   31   27   27   29
84   31   27   27   28
85   31   27   27   29
86   32   28   28   30
87   30   27   26   28
88   33   27   29   28
89   32   27   27   28
90   32   27   28   28
91   31   28   27   28
92   33   27   29   29
93   30   27   27   28
94   31   28   26   28
95   31   29   27   29
96   31   27   27   27
97   31   28   28   28
98   32   28   27   30
99   32   28   28   28
100   32   28   28   28
101   30   26   28   28
102   31   27   27   28
103   33   28   27   28
104   31   27   28   27
105   32   27   28   27
106   32   27   27   26
107   32   28   27   28
108   33   28   28   28
109   31   29   28   28
110   29   27   27   27
111   30   28   28   29
112   30   28   27   28
113   32   29   28   29
114   31   27   29   28
115   32   27   28   28
116   30   27   27   27
117   31   27   27   28
118   32   29   28   28
119   31   28   27   28
120   29   27   28   29
121   30   27   28   29
122   29   27   27   29
123   30   29   28   27
124   33   28   29   28
125   33   27   27   27
126   30   27   28   28
127   30   27   28   28
128   30   28   28   28
129   30   29   28   28
130   30   28   28   28
131   31   28   28   30
132   31   27   28   28
133   30   27   28   28
134   31   29   28   27
135   31   28   27   28
136   30   27   28   29
137   31   27   27   28
138   31   29   27   29
139   31   26   27   28
140   30   29   29   29
141   31   27   27   28
142   30   27   26   29
143   32   27   28   29
144   31   27   27   29
145   30   28   28   28
146   33   28   28   29
147   31   27   27   29
148   31   27   27   29
149   32   27   27   28
150   29   28   29   28
151   32   27   27   28
152   31   28   28   28
153   30   29   27   29
154   30   28   27   28
155   31   27   28   27
156   30   28   28   29
157   30   27   28   28
158   33   28   28   29
159   31   26   27   29
160   30   29   27   28
161   30   28   27   28
162   32   28   28   30
163   31   28   27   28
164   31   27   28   29
165   30   28   27   30
166   30   27   28   28
167   31   27   29   27
168   31   29   27   28
169   32   28   28   28
170   31   28   29   29
171   32   27   26   28
172   32   28   27   29
173   32   28   28   28
174   32   27   27   27
175   32   26   28   29
176   31   27   26   27
177   32   26   28   28
178   31   27   28   29
179   30   27   28   29
180   30   28   28   29
181   32   28   28   28
182   32   27   27   29
183   31   28   27   29
184   31   29   27   28
185   30   27   28   29
186   29   27   26   30
187   31   27   28   28
188   31   27   27   29
189   30   27   28   28
190   30   27   27   28
191   31   27   29   28
192   31   27   26   28
193   29   27   28   27
194   33   27   27   28
195   31   29   27   28
196   31   28   27   29
197   29   27   27   28
198   32   27   29   28
199   31   27   28   28
