epsilon = 0.5
learning_rate = 0.3
discount_rate = 0.99
lambda = 0.5
c = 20
T = 0.01
SARSA   Q_learning   double_Q_learning   QV_learning
   22   26   43   39
   30   25   42   24
   21   16   23   25
   15   13   12   33
   11   13   36   42
   44   28   23   18
   23   22   24   25
   18   15   17   26
   28   17   22   13
   11   21   21   15
   23   14   25   43
   23   11   51   9
   21   17   21   25
   20   22   21   49
   13   42   23   17
   71   40   21   31
   46   22   27   13
   45   63   34   25
   32   17   21   21
   14   28   34   28
   19   30   35   22
   17   19   13   15
   42   30   22   20
   75   48   38   13
   17   29   26   27
   20   15   46   17
   32   17   19   17
   36   53   17   18
   76   45   17   23
   54   17   19   28
   25   38   25   16
   25   27   13   20
   40   22   21   17
   62   13   25   15
   28   30   19   21
   30   30   24   27
   35   39   67   24
   40   26   15   20
   27   19   12   35
   18   23   22   22
   16   26   25   22
   16   17   27   18
   19   30   23   22
   20   31   26   11
   33   24   13   18
   32   31   23   17
   35   29   13   26
   25   28   20   23
   13   32   17   32
   49   18   46   17
   32   44   26   19
   21   36   29   17
   30   9   50   34
   44   25   24   31
   23   20   18   21
   20   36   14   28
   15   22   15   28
   11   25   28   30
   12   15   33   31
   36   22   29   17
   30   24   19   29
   37   29   23   19
   20   27   27   12
   17   17   22   22
   19   56   13   25
   19   29   17   11
   31   23   14   24
   48   24   33   24
   23   25   26   13
   46   15   13   17
   43   27   29   34
   42   36   17   13
   25   13   33   36
   39   11   19   26
   17   11   51   30
   14   21   33   23
   69   10   45   36
   32   13   17   25
   28   16   13   23
   62   16   20   44
   35   12   15   15
   44   30   11   21
   14   37   49   39
   43   61   19   25
   27   30   29   36
   29   20   26   31
   25   17   14   27
   34   48   31   46
   21   25   23   35
   36   13   13   29
   36   23   23   9
   29   27   25   23
   58   22   36   13
   11   29   17   17
   15   15   39   38
   17   26   34   31
   17   17   28   23
   116   16   25   41
   17   39   18   28
   28   36   15   36
   33   22   22   13
   17   29   34   21
   28   26   35   11
   56   14   28   45
   28   34   39   39
   27   33   29   17
   18   13   34   28
   32   18   28   25
   30   44   23   32
   94   23   50   42
   23   14   55   21
   25   36   29   22
   31   45   33   29
   40   28   22   23
   43   12   24   16
   20   20   12   18
   11   14   37   28
   68   41   24   17
   26   16   33   16
   15   39   19   38
   33   33   26   30
   44   53   23   31
   49   19   34   25
   23   35   27   19
   15   26   29   34
   11   15   22   37
   34   21   25   32
   13   15   13   29
   34   23   36   71
   12   33   15   17
   19   17   14   27
   29   14   17   31
   15   33   28   44
   35   15   15   21
   61   22   26   26
   38   24   17   37
   60   17   33   18
   23   15   20   28
   11   24   16   36
   17   15   32   23
   19   14   19   19
   37   29   23   27
   23   30   20   30
   28   36   19   31
   14   25   18   26
   14   27   21   33
   36   24   41   14
   14   21   40   27
   44   10   19   29
   14   27   18   18
   12   32   27   15
   37   11   25   35
   14   16   19   24
   17   23   32   23
   34   13   23   16
   16   26   26   19
   21   26   28   16
   39   23   12   18
   26   26   19   19
   31   25   23   15
   20   15   27   38
   17   11   17   9
   62   34   17   51
   18   13   14   28
   19   19   32   25
   81   27   15   17
   25   13   16   24
   19   21   25   24
   45   27   13   32
   26   42   19   40
   37   21   23   18
   31   15   46   24
   31   32   37   26
   25   17   43   29
   22   23   47   15
   30   20   42   19
   68   26   41   33
   28   22   11   37
   25   13   39   32
   41   55   18   25
   61   15   17   29
   36   15   44   32
   15   24   25   15
   29   19   27   18
   19   19   27   11
   59   55   41   24
   28   20   28   48
   24   19   23   22
   109   24   15   20
   25   13   19   25
   14   37   24   26
   44   13   29   23
   14   19   34   18
   44   13   17   23
   20   37   29   51
   11   28   39   32
   37   45   27   29
   27   10   15   20
   23   32   11   22
   76   15   15   23
   21   23   28   38
   39   14   24   11
   24   36   15   18
   56   19   37   25
   41   17   29   33
   11   33   26   11
   11   11   28   21
   30   29   10   32
